date,ic,hit
2020-01-02,-0.041493931747176166,0.3
2020-01-27,0.06799989664514274,0.65
2020-02-19,-0.10657172325791647,0.3
2020-03-12,0.04076240115128003,0.6
2020-04-03,0.06554270951350981,0.45
2020-04-28,0.022957472162140512,0.55
2020-05-20,-0.10241857497625341,0.45
2020-06-12,-0.05217819565363797,0.6
2020-07-07,-0.0739235717718955,0.25
2020-07-29,-0.0025068915153179756,0.5
2020-08-20,-0.11018637132214096,0.3
2020-09-14,0.07053005951043208,0.6
2020-10-06,-0.028337648875475123,0.35
2020-10-28,0.014678534563223275,0.45
2020-11-19,0.028008093507893482,0.7
2020-12-14,-0.07138158948360819,0.35
2021-01-07,-0.10883256586099954,0.3
2021-02-01,0.06695087461805198,0.75
2021-02-24,0.02068402312859775,0.45
2021-03-18,-0.026048998065941107,0.5
2021-04-12,-0.10267401165585195,0.45
2021-05-04,0.05154393904281251,0.65
2021-05-26,0.022221918734074746,0.45
2021-06-18,-0.01684549916457811,0.7
2021-07-13,0.0032129410283700116,0.4
2021-08-04,0.03423557824355409,0.5
2021-08-26,-0.017659820927890504,0.4
2021-09-20,0.053044418378736566,0.3
2021-10-12,-0.01432367694894693,0.65
2021-11-03,0.03359890880168457,0.45
2021-11-26,0.02825735857909614,0.5
2021-12-20,-0.06070353895583707,0.4
2022-01-12,0.02008249075886062,0.55
2022-02-04,-0.05502286681315159,0.4
2022-03-01,0.041076846654307,0.5
2022-03-23,-0.05800388528398622,0.35
2022-04-14,-0.07359374821185384,0.4
2022-05-09,-0.07419501235966629,0.45
2022-06-01,-0.04615661227841293,0.45
2022-06-24,0.09145768602442178,0.5
2022-07-19,0.001599407372584916,0.6
2022-08-10,-0.00944606092857715,0.4
2022-09-01,-0.09636686250443462,0.45
2022-09-26,0.08825359631956603,0.65
2022-10-18,0.08483653840651857,0.75
2022-11-09,0.047701884556342264,0.5
2022-12-02,0.061570791221838304,0.35
2022-12-27,0.02179991574255273,0.55
2023-01-20,0.03244872921031374,0.55
2023-02-13,0.00472897615598679,0.55
2023-03-08,-0.02495657542822023,0.7
2023-03-30,0.03410424195694032,0.55
2023-04-24,0.0028346589607096983,0.5
2023-05-16,0.05874659704578581,0.5
2023-06-08,-0.015363841252675065,0.5
2023-07-03,0.10777925836280199,0.45
2023-07-26,0.07513432721926658,0.7
2023-08-17,-0.02799472523691876,0.45
2023-09-11,0.033125589473611876,0.35
2023-10-03,-0.07520103011533485,0.4
2023-10-25,-0.051480102224739935,0.25
2023-11-16,-0.021730759675362955,0.55
2023-12-11,0.038681097069045454,0.55
2024-01-04,0.01376354015039785,0.5
2024-01-29,0.003004085556356645,0.45
2024-02-21,0.04265680885506094,0.6
2024-03-14,0.004061506153860888,0.55
2024-04-08,-0.05429160565269673,0.3
2024-04-30,0.10217350954440897,0.7
2024-05-22,0.029801422792140167,0.65
2024-06-14,-0.030667067092233692,0.7
2024-07-10,-0.04751864321191106,0.45
2024-08-01,-0.012795708591298008,0.8
2024-08-23,-0.015654281243345444,0.5
2024-09-17,0.042641922537908765,0.55
2024-10-09,-0.0038232353143131804,0.55
2024-10-31,0.051236199087902404,0.75
2024-11-22,-0.04632613267670235,0.35
2024-12-17,0.007545347905699243,0.45
