rebalance_freq,edge_type,model_count,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_annualized_return,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover
1,corr+granger,1,0.020017599371136,0.013134167866235,0.006682212319074001,0.09322975069516001,0.033362106941688,-0.311359961873902,0.44299363057324803
1,corr,2,0.020019221681364503,0.013134693231392,0.0009608403821910003,0.0864144484700845,0.032131326326434506,-0.32918044062810603,0.5039410828025476
1,granger,2,0.020017623210249504,0.013134295808551001,-0.0008955011298784999,0.075813740442634,0.028613735141655,-0.30340224033258556,0.4964570063694266
1,corr+sector,2,0.020019828531000004,0.0131317983225715,0.0024671474056100003,0.07409563145044601,0.028035592853533502,-0.31884885348824554,0.46707802547770655
1,corr+sector+granger,1,0.020017495660915003,0.013134288746375001,-0.015578308886904,0.067900424304181,0.025571969595841,-0.34240476337228504,0.44363057324840705
1,sector,2,0.0200186307902935,0.013134547010742001,-0.008011483225176001,0.0659752397421125,0.024848047127732004,-0.358013061546236,0.45656847133757905
5,corr,2,0.020019221681364503,0.013134693231392,0.0009608403821910003,0.13301586017323502,0.045623058417668505,-0.31060326824607953,0.14144108280254702
5,corr+granger,1,0.020017599371136,0.013134167866235,0.006682212319074001,0.137639185083395,0.044576972543972006,-0.35860571021431303,0.13248407643312102
5,sector,2,0.0200186307902935,0.013134547010742001,-0.008011483225176001,0.137859199980566,0.0439360728869385,-0.3473694203742255,0.12933917197452152
5,corr+sector,2,0.020019828531000004,0.0131317983225715,0.0024671474056100003,0.12063745470126001,0.041468192265959505,-0.322425803808991,0.133996815286624
5,granger,2,0.020017623210249504,0.013134295808551001,-0.0008955011298784999,0.1129205897155405,0.039031523243467,-0.3163788053559205,0.132603503184713
5,corr+sector+granger,1,0.020017495660915003,0.013134288746375001,-0.015578308886904,0.10585392331009401,0.035589920276607005,-0.337428454274847,0.12300955414012701
