experiment_id,timestamp,seed,model_name,model_family,edge_type,directed,graph_window,target_type,target_horizon,lookback_window,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,rebalance_freq,run_tag,out_dir,artifact_prefix,target_policy_hash
lstm_baseline_1768337750,2026-01-13 20:55:50,42,lstm,lstm,none,False,,regression,1,60,0.020037655371170002,0.013169270970445,0.002284211950072,1.911408049717064,0.9198848366340311,0.13981788108210402,0.20691653418247502,0.046099919900033,-0.35837177773974005,0.12348726114649601,190.58568024635315,8.99730110168457,1,,,,
xgb_raw_1768180195,2026-01-12 01:09:55,42,xgb_raw,xgboost,none,False,,regression,1,60,0.019947379740142,0.013107034237569001,0.008801086458617,1.833378628074269,0.841279804179022,0.13029764839830302,0.206133527933018,0.043690013048533004,-0.33124778924294,0.13925159235668702,0.9727621078491211,0.023327827453613,1,,,,
xgb_raw_1770543444,2026-02-08 09:37:24,42,xgb_raw,xgboost,none,False,,regression,1,60,0.019947379740142,0.013107034237569001,0.008801086458617,1.833378628074269,0.841279804179022,0.13029764839830302,0.206133527933018,0.043690013048533004,-0.33124778924294,0.13925159235668702,0.642614126205444,0.013648271560668002,1,,,,
