,value
2020-01-02,0.993753200519642
2020-01-03,0.9979744776528547
2020-01-06,0.9937409319022505
2020-01-07,0.998990519480143
2020-01-08,1.0031481515806762
2020-01-09,1.0019886987796032
2020-01-10,1.0075665236386253
2020-01-13,1.0053814320729957
2020-01-14,1.0067131217124328
2020-01-15,1.0140348144307727
2020-01-16,1.0158996129633089
2020-01-17,1.0111929096093042
2020-01-21,1.009255528692158
2020-01-22,1.0086907350412455
2020-01-23,0.9973286476980795
2020-01-24,0.9813291907617824
2020-01-27,0.9916560344637856
2020-01-28,0.9926426503625199
2020-01-29,0.9946494827089218
2020-01-30,0.9794277714797088
2020-01-31,0.986649401963876
2020-02-03,0.9949642874708128
2020-02-04,1.0093339537887618
2020-02-05,1.0124610603227835
2020-02-06,1.00582424403254
2020-02-07,1.010952927304215
2020-02-10,1.0104842485725847
2020-02-11,1.0157618778587045
2020-02-12,1.015341756438614
2020-02-13,1.0123734088557939
2020-02-14,1.005812741244316
2020-02-18,1.0098263489795951
2020-02-19,1.0078618720294523
2020-02-20,0.9984141292589519
2020-02-21,0.9596337384037139
2020-02-24,0.9329818610728476
2020-02-25,0.9291408908397464
2020-02-26,0.8865222296825479
2020-02-27,0.8838269669426974
2020-02-28,0.9263872859511018
2020-03-02,0.905073094012617
2020-03-03,0.9333737347381137
2020-03-04,0.9018237740506132
2020-03-05,0.8890220060406188
2020-03-06,0.8132632465961873
2020-03-09,0.858996778037673
2020-03-10,0.8154454572035431
2020-03-11,0.7336123386626695
2020-03-12,0.812169823428161
2020-03-13,0.732025453779582
2020-03-16,0.7705706791938646
2020-03-17,0.7193217965673948
2020-03-18,0.7326692440708205
2020-03-19,0.7052404565968924
2020-03-20,0.6901302459989662
2020-03-23,0.7742991230930589
2020-03-24,0.7822364745982759
2020-03-25,0.822530411258801
2020-03-26,0.7944391318014575
2020-03-27,0.8220927140804422
2020-03-30,0.8124400257788514
2020-03-31,0.7836073716957326
2020-04-01,0.8023345925328378
2020-04-02,0.7865581067969428
2020-04-03,0.8408553236148661
2020-04-06,0.8393983363919012
2020-04-07,0.8595510857458946
2020-04-08,0.8775155418557004
2020-04-09,0.8745154198466649
2020-04-13,0.8981809964493658
2020-04-14,0.8826590719035599
2020-04-15,0.8830165286178726
2020-04-16,0.9129038244455656
2020-04-17,0.8986329621851363
2020-04-20,0.8777704901171718
2020-04-21,0.8983235395965513
2020-04-22,0.9020291173078643
2020-04-23,0.9136384128573176
2020-04-24,0.9240401163809338
2020-04-27,0.9190726492480618
2020-04-28,0.9330262862704345
2020-04-29,0.9281209548248239
2020-04-30,0.9073920073234113
2020-05-01,0.9095371501435968
2020-05-04,0.914215354410146
2020-05-05,0.9084160959727517
2020-05-06,0.9129879798614221
2020-05-07,0.9237236840969358
2020-05-08,0.9186712267346113
2020-05-11,0.9023354710825602
2020-05-12,0.8915491813528101
2020-05-13,0.9001131040732508
2020-05-14,0.903159077084634
2020-05-15,0.924479979577526
2020-05-18,0.9197137362825473
2020-05-19,0.9309389543364777
2020-05-20,0.9240921823049056
2020-05-21,0.9251997992340925
2020-05-22,0.9374137243120646
2020-05-26,0.9499273633105891
2020-05-27,0.9500456899663314
2020-05-28,0.9559264929763469
2020-05-29,0.9579371538653361
2020-06-01,0.9633512997657917
2020-06-02,0.9698091530016856
2020-06-03,0.9644893376722016
2020-06-04,0.9785229418212131
