run_id,run_key,run_tag,model_family,model_name,edge_type,corr_window,lookback_window,seed,target_type,target_horizon,rebalance_freq,split_id,config_hash,inclusion_status
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-5f466004c922__sd-42__tg-fixed-medium,6ef0087c5ede,gat_corr_sector_granger_rolling_cv_y2024,gnn,gat,corr+sector+granger,60,250,42,regression,1,5,5f466004c922,2eedcdffa35d,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,bbeb5a620cf9,xgb_node2vec_corr_rolling_cv_y2020,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,5,da1e51e1afff,674b044bdd2a,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,380c6517e36e,xgb_node2vec_corr_rolling_cv_y2021,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,5,3170f4531422,10a3467d9c25,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,c61e090e30a4,xgb_node2vec_corr_rolling_cv_y2022,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,5,2041bcaeeadb,2d65242d19d5,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,1de261b80325,xgb_node2vec_corr_rolling_cv_y2023,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,5,2108dc994532,717185466c45,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,6bd13262934e,xgb_node2vec_corr_rolling_cv_y2024,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,5,5f466004c922,adf0c646efee,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,f245f2cd48f8,xgb_raw_rolling_cv_y2020,xgboost,xgb_raw,none,0,60,42,regression,1,5,da1e51e1afff,bc48554ede64,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,b44768c6eda8,xgb_raw_rolling_cv_y2021,xgboost,xgb_raw,none,0,60,42,regression,1,5,3170f4531422,6e1ac49698e5,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,78cec983d192,xgb_raw_rolling_cv_y2022,xgboost,xgb_raw,none,0,60,42,regression,1,5,2041bcaeeadb,fd1b7fb84590,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,b25ffa974bc0,xgb_raw_rolling_cv_y2023,xgboost,xgb_raw,none,0,60,42,regression,1,5,2108dc994532,56b83f3ea986,included
