run_tag,model_name,edge_type,rebalance_freq,rebalance_label,cost_bps,cost_label,strategy_label,portfolio_final_value,portfolio_annualized_return,portfolio_sharpe_annualized,portfolio_max_drawdown,portfolio_turnover,n_points,turnover_definition,cost_formula
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),1.3176181173551191,0.30945168022261016,2.422392209940768,-0.062294996634764344,0.5836653386454184,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.2246664124956343,0.21732804958709306,1.7982675567577382,-0.07099210290830527,0.5836653386454184,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.1382458035741985,0.13165969936733757,1.1716837113682472,-0.07961115965871324,0.5836653386454184,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),1.3251567569460252,0.31325069980025533,2.333664834908198,-0.05668049314477075,0.6430278884462151,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.22251239983851,0.2117416450662526,1.6831020050305254,-0.06254835711990148,0.6430278884462151,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.1277871526305743,0.11804771456867225,1.03222853192125,-0.07193282095849407,0.6430278884462151,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_raw_rolling_cv_y2021,xgb_raw,none,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),1.3067926084990424,0.29673784582915474,2.307790018303004,-0.044792620612963074,0.6661354581673308,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_raw_rolling_cv_y2021,xgb_raw,none,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.20208900663962,0.1930367055197686,1.6071331756598632,-0.05297899373284376,0.6661354581673308,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_raw_rolling_cv_y2021,xgb_raw,none,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.1057415025700617,0.09759598476591869,0.9051239356741759,-0.06501318160466507,0.6661354581673308,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),1.2610367052812699,0.2741072345540585,2.285693550673752,-0.04826103858400499,0.5635999999999999,250,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
