rebalance_freq,edge_type,model_count,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_annualized_return,portfolio_sharpe,portfolio_sharpe_daily,portfolio_sharpe_annualized,portfolio_sortino_annualized,portfolio_max_drawdown,portfolio_turnover
1,corr+sector+granger,5,0.0204459846673426,0.013778162271576199,0.008293970163526402,0.18745822877656163,0.0852699078166878,0.0852699078166878,1.353619504955752,1.947866767598187,-0.1528812611659912,0.6349252334551636
5,corr+sector+granger,5,0.0204459846673426,0.013778162271576199,0.008293970163526402,0.1615485092275074,0.07289867328936721,0.07289867328936721,1.1572320274599963,1.6164075731797911,-0.1536143239220214,0.1475371263083066
21,corr+sector+granger,5,0.020445984667342605,0.013778162271576199,0.008293970163526402,0.17997135907394501,0.0786425056092392,0.0786425056092392,1.2484126783962461,1.7208773380444966,-0.1534376959401002,0.0361894393738868
