decision_rank,run_tag,model_name,edge_type,rebalance_freq,portfolio_sharpe_annualized,portfolio_annualized_return,portfolio_max_drawdown,prediction_rank_ic,portfolio_turnover,portfolio_final_value,test_final_value,delta_final_value_vs_test_bh,ratio_final_value_vs_test_bh,delta_annualized_return_vs_test_bh,test_start_date,test_end_date
1,gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,5,2.438634296123884,0.32565165029757404,-0.057761408328991,-0.012511537428000001,0.150996015936255,1.337620246602723,1.5011860395,-0.16356579289727713,0.8910422901669429,-0.18042124670242599,2021-01-04,2021-12-30
2,xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,1,2.422392209940769,0.30945168022261205,-0.062294996634764004,0.001312740022525,0.583665338645418,1.3176181173551211,1.501186039472033,-0.18356792211691197,0.8777180727170413,-0.19662121674280908,2021-01-04,2021-12-30
3,gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,1,2.333664834908198,0.31325069980025905,-0.056680493144771006,-0.012511537428000001,0.6430278884462151,1.325156756946029,1.5011860395,-0.1760292825539711,0.8827398617345248,-0.19282219719974097,2021-01-04,2021-12-30
4,xgb_raw_rolling_cv_y2021,xgb_raw,none,1,2.307790018303006,0.296737845829157,-0.044792620612962006,0.0009740618015500001,0.66613545816733,1.306792608499044,1.5011860395,-0.19439343100095607,0.8705067687242131,-0.209335051170843,2021-01-04,2021-12-30
5,gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,21,2.304466808811835,0.304030042674922,-0.057204509426184005,0.006014665175640001,0.0388,1.295808346831491,1.9075730534,-0.611764706568509,0.6792968397838718,-0.618443936125078,2024-01-02,2024-12-27
6,xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,1,2.2856935506737552,0.27410723455406,-0.048261038584005,0.012689945257071001,0.563599999999999,1.261036705281271,1.9075730534,-0.646536348118729,0.6610686301285488,-0.64836674424594,2024-01-02,2024-12-27
7,xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,5,2.283125781794766,0.282461405665729,-0.055918844832723004,0.001312740022525,0.13705179282868502,1.2905661753161721,1.501186039472033,-0.21061986415586098,0.8596976932786186,-0.2236114912996921,2021-01-04,2021-12-30
8,xgb_raw_rolling_cv_y2021,xgb_raw,none,5,2.2416727778850802,0.28182087797603,-0.049038529662256004,0.0009740618015500001,0.147011952191235,1.29181928634921,1.5011860395,-0.20936675315079012,0.8605324405890932,-0.22425201902397002,2021-01-04,2021-12-30
9,gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,1,2.187992526742452,0.288143911394657,-0.058389475429720006,0.006014665175640001,0.6528,1.2801469003016481,1.9075730534,-0.6274261530983518,0.6710866973193783,-0.634330067405343,2024-01-02,2024-12-27
10,xgb_raw_rolling_cv_y2021,xgb_raw,none,21,2.142838990217661,0.262501842134375,-0.062692209156521,0.0009740618015500001,0.038645418326693,1.2724262368962351,1.5011860395,-0.22875980260376494,0.8476139555094997,-0.24357105486562503,2021-01-04,2021-12-30
