run_tag,model_name,edge_type,rebalance_freq,rebalance_label,active_return_annualized,tracking_error_annualized,information_ratio_annualized,relative_final_value,relative_max_drawdown,active_return_mean_daily_arithmetic,active_return_type,annualization_days
gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,1,reb=1,0.10657007523408656,0.29832499658843764,0.35722811180019287,1.119269369350565,-0.07450587687674359,0.0004228971239447879,arithmetic,252
xgb_raw_rolling_cv_y2020,xgb_raw,none,1,reb=1,0.14104805760425276,0.5530664377291348,0.25502913932617133,1.1377112277217987,-0.17784853799556932,0.0005597145143025903,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2020,xgb_node2vec,node2vec_correlation,1,reb=1,0.13079871337987337,0.5394095968778655,0.24248495788162472,1.1294828089278388,-0.17164103264012553,0.0005190425134121959,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,1,reb=1,0.026014089993034,0.1527559204727864,0.1702984075021068,1.020260833751637,-0.05900561963702278,0.00010323051584537301,arithmetic,252
xgb_raw_rolling_cv_y2022,xgb_raw,none,1,reb=1,0.05148919698368436,0.302806701383794,0.1700398199524128,1.0550137612119677,-0.08099957481841036,0.0002043222102527157,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,1,reb=1,0.021451907194053547,0.16555673159499706,0.1295743579097197,1.0244749683180996,-0.04091988034623251,8.512661584941884e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,1,reb=1,0.013634837893590636,0.14515450152564344,0.09393327626964337,1.005030250839589,-0.05969212147794256,5.410649957774062e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,1,reb=1,0.008565225319775382,0.5778860775924431,0.014821650238502628,0.9853132837707632,-0.2025033302556568,3.398898936418803e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,1,reb=1,6.379823272532847e-05,0.16478891331802417,0.0003871512436167658,1.006732860910773,-0.05935680856938952,2.531675901798749e-07,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2022,xgb_node2vec,node2vec_correlation,1,reb=1,-0.00144349932622459,0.3056251824473105,-0.004723103360350381,0.9994110110797007,-0.07448605083553617,-5.728171929462659e-06,arithmetic,252
xgb_raw_rolling_cv_y2023,xgb_raw,none,1,reb=1,-0.0035179436845319345,0.16318609456413233,-0.021557864313919095,0.9987313537159836,-0.060901993892082285,-1.3960093986237836e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,1,reb=1,-0.009122205774536978,0.17196441506779442,-0.05304705494413297,0.9997787753053986,-0.06605046187231667,-3.619922926403562e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,1,reb=1,-0.01289482574117596,0.16552842503926132,-0.07790097524408551,0.9940911675426491,-0.0739640234106006,-5.116994341736492e-05,arithmetic,252
xgb_raw_rolling_cv_y2021,xgb_raw,none,1,reb=1,-0.02243764326730101,0.16944745748242335,-0.13241652368627868,0.9859237458927536,-0.06517341466941506,-8.903826693373417e-05,arithmetic,252
xgb_raw_rolling_cv_y2024,xgb_raw,none,1,reb=1,-0.03536945128377795,0.14343092907552202,-0.24659570646129295,0.9587602071858008,-0.06387741873017017,-0.00014035496541181725,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,5,reb=5,0.07121143966488788,0.5650707290461566,0.12602217033094829,1.0517242574054122,-0.194594520763671,0.00028258507803526935,arithmetic,252
