entry_name,strategy_kind,run_tag,model_name,edge_type,rebalance_freq,fold_year,fold_label,configured_test_start,observed_test_start,observed_test_end,summary_scope,n_folds,portfolio_sharpe_annualized,portfolio_annualized_return,portfolio_max_drawdown,portfolio_turnover
XGB+Node2Vec (n2v-corr),model_long_only_topk,xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,5,2023,test_2023,2023-01-01,2023-01-03,2023-12-28,fold,1,1.658612067111412,0.19796807606612202,-0.10621543937195901,0.13534136546184702
XGB+Node2Vec (n2v-corr),model_long_only_topk,xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,5,2024,test_2024,2024-01-01,2024-01-02,2024-12-27,fold,1,2.047191145101298,0.25224626984236,-0.052187159991367006,0.1356
Buy and hold (fixed shares),baseline_buy_and_hold,,baseline,none,5,,mean,,,,mean,5,1.4618373673,0.47683283534000004,-0.21260427042000002,0.0
"Equal weight (rebalanced, all assets)",baseline_equal_weight,,baseline,none,5,,mean,,,,mean,5,1.22721785708,0.16479898324000003,-0.15613352276,0.0
GAT (corr+sec+gr),model_long_only_topk,,gat,corr+sector+granger,5,,mean,,,,mean,5,1.1572320274599965,0.1615485092275074,-0.15361432392202143,0.1475371263083066
XGB,model_long_only_topk,,xgb_raw,none,5,,mean,,,,mean,5,1.261324696833748,0.1640496592549488,-0.14076327280130843,0.14560945871133923
XGB+Node2Vec (n2v-corr),model_long_only_topk,,xgb_node2vec,node2vec_correlation,5,,mean,,,,mean,5,1.229913875132863,0.1568184862966476,-0.15062131038794463,0.13888879038826502
Buy and hold (fixed shares),baseline_buy_and_hold,,baseline,none,5,,std,,,,std,5,1.2597583273169999,0.41775401550541974,0.09869762259368445,0.0
"Equal weight (rebalanced, all assets)",baseline_equal_weight,,baseline,none,5,,std,,,,std,5,1.0691705369758744,0.15805055641402158,0.1132167721988294,0.0
GAT (corr+sec+gr),model_long_only_topk,,gat,corr+sector+granger,5,,std,,,,std,5,0.9987644928266941,0.14999478157231722,0.10005137190985895,0.0047892054504364324
XGB,model_long_only_topk,,xgb_raw,none,5,,std,,,,std,5,1.0341928592486036,0.14654869854267058,0.09855664638107862,0.0031380970695004985
XGB+Node2Vec (n2v-corr),model_long_only_topk,,xgb_node2vec,node2vec_correlation,5,,std,,,,std,5,1.012858350213542,0.14041268341387395,0.10599659000314984,0.0035985875440142988
