run_id,experiment_id,timestamp,seed,model_name,model_family,edge_type,directed,graph_window,target_type,target_horizon,corr_window,lookback_window,protocol_version,split_train_end,split_val_start,split_test_start,rebalance_freq,baseline_version,target_policy_hash,split_id,config_hash,run_key,prediction_rows,prediction_unique_pairs,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe,portfolio_sharpe_daily,portfolio_sharpe_annualized,portfolio_sortino_annualized,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,run_tag,out_dir,artifact_prefix
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2021_1772230419_reb1,2026-02-27 22:13:39,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2020-12-31,regression,1,60,60,v1_rolling_cv_subset,2020-12-31,2021-01-01,2021-01-01,1,price_bh_v2_eqw_v2,3b53bcae1702,3170f4531422,10a3467d9c25,6118456b62e7,8032,8032,0.015029188434253,0.010766790106507001,0.001312740022525,1.3176181173551211,0.30805147983803904,0.30945168022261205,0.11720795000719901,0.15259615916753,0.15259615916753,2.422392209940769,3.352049058566729,-0.062294996634764004,0.583665338645418,5.371665954589844,0.006897211074829001,xgb_node2vec_corr_rolling_cv_y2021,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_node2vec
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-3170f4531422__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2021_1772232632_reb1,2026-02-27 22:50:32,42,gat,gnn,corr+sector+granger,True,2000-06-26..2021-12-30,regression,1,60,250,v1_rolling_cv_subset,2020-12-31,2021-01-01,2021-01-01,1,price_bh_v2_eqw_v2,3b53bcae1702,3170f4531422,09f784f0bc8d,9b728eaa7b79,8032,8032,0.015141437129016002,0.010863811468456,-0.012511537428000001,1.325156756946029,0.311831356021504,0.31325069980025905,0.12449806324538801,0.147006879138738,0.147006879138738,2.333664834908198,3.267109017821614,-0.056680493144771006,0.6430278884462151,1192.4999389648438,19.326002836227417,gat_corr_sector_granger_rolling_cv_y2021,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-3170f4531422__sd-42__tg-fixed-medium,gat
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2021_1772230465_reb1,2026-02-27 22:14:25,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2020-12-31,2021-01-01,2021-01-01,1,price_bh_v2_eqw_v2,3b53bcae1702,3170f4531422,6e1ac49698e5,1d8490d92e48,8032,8032,0.015022850574396,0.010756106879091001,0.0009740618015500001,1.306792608499044,0.295401393671371,0.296737845829157,0.119553618259498,0.145376913313673,0.145376913313673,2.307790018303006,3.3972046848967152,-0.044792620612962006,0.66613545816733,0.41394376754760703,0.003350019454956,xgb_raw_rolling_cv_y2021,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_raw
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2024_1772230454_reb1,2026-02-27 22:14:14,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2023-12-29,regression,1,60,60,v1_rolling_cv_subset,2023-12-31,2024-01-01,2024-01-01,1,price_bh_v2_eqw_v2,7ca238b83d6a,5f466004c922,adf0c646efee,09f8cbed1c45,8000,8000,0.015629879906773,0.010540594989568,0.012689945257071001,1.261036705281271,0.27166000819754804,0.27410723455406,0.10472444768494701,0.143984941465954,0.143984941465954,2.2856935506737552,3.196200881934872,-0.048261038584005,0.563599999999999,5.962372779846191,0.008360862731933,xgb_node2vec_corr_rolling_cv_y2024,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_node2vec
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-5f466004c922__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2024_1772236722_reb1,2026-02-27 23:58:42,42,gat,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,60,250,v1_rolling_cv_subset,2023-12-31,2024-01-01,2024-01-01,1,price_bh_v2_eqw_v2,7ca238b83d6a,5f466004c922,2eedcdffa35d,2bd21726e101,8000,8000,0.016023773513426,0.010940650584670001,0.006014665175640001,1.2801469003016481,0.28555793065926605,0.288143911394657,0.116945410051736,0.137830386624773,0.137830386624773,2.187992526742452,3.186787265305367,-0.058389475429720006,0.6528,1360.8621711730957,19.150336027145386,gat_corr_sector_granger_rolling_cv_y2024,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-5f466004c922__sd-42__tg-fixed-medium,gat
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2024_1772230483_reb1,2026-02-27 22:14:43,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2023-12-31,2024-01-01,2024-01-01,1,price_bh_v2_eqw_v2,7ca238b83d6a,5f466004c922,62da5fb90654,094ee6236459,8000,8000,0.015613447066227,0.01052763418899,-0.002560843876874,1.2029805190583691,0.211584349212099,0.21344608237067703,0.10476203240953301,0.11534381332241901,0.11534381332241901,1.8310290464654981,2.47044665785911,-0.05302612930603601,0.5868,0.7357759475708,0.003353834152221,xgb_raw_rolling_cv_y2024,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_raw
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2108dc994532__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2023_1772235280_reb1,2026-02-27 23:34:40,42,gat,gnn,corr+sector+granger,True,2000-06-26..2023-12-28,regression,1,60,250,v1_rolling_cv_subset,2022-12-31,2023-01-01,2023-01-01,1,price_bh_v2_eqw_v2,13a0f67e443c,2108dc994532,0c1742a28ce5,4e80163c4de8,7968,7968,0.016444096983807003,0.011499378469892001,0.0026468492993890003,1.234810327129565,0.23018647018794303,0.23326081756043002,0.12357053454961901,0.11273918943493601,0.11273918943493601,1.789681448649153,2.827297765017856,-0.09581591196528201,0.6305220883534131,1293.1873648166656,19.723127603530884,gat_corr_sector_granger_rolling_cv_y2023,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2108dc994532__sd-42__tg-fixed-medium,gat
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2023_1772230442_reb1,2026-02-27 22:14:02,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2022-12-30,regression,1,60,60,v1_rolling_cv_subset,2022-12-31,2023-01-01,2023-01-01,1,price_bh_v2_eqw_v2,13a0f67e443c,2108dc994532,717185466c45,cec0e0ada34a,7968,7968,0.015830225137529002,0.010919127221631,0.013562496130416001,1.213425580670043,0.20468805397574202,0.20739395342076902,0.12297673810463201,0.10418312241561101,0.10418312241561101,1.653857931218682,2.5735309996431512,-0.09751348578150601,0.599196787148594,5.62736177444458,0.007638931274414001,xgb_node2vec_corr_rolling_cv_y2023,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_node2vec
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2023_1772230477_reb1,2026-02-27 22:14:37,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2022-12-31,2023-01-01,2023-01-01,1,price_bh_v2_eqw_v2,13a0f67e443c,2108dc994532,56b83f3ea986,f936bb5787a8,7968,7968,0.01581805160309,0.010908759086337,0.008829589300839,1.203781280885005,0.200774424775842,0.20342435335867,0.12059467448819401,0.10186706502868201,0.10186706502868201,1.617091653783168,2.612281677840954,-0.11635464504330001,0.637349397590361,0.6389219760894771,0.0037009716033930004,xgb_raw_rolling_cv_y2023,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_raw
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2020_1772230408_reb1,2026-02-27 22:13:28,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2019-12-31,regression,1,60,60,v1_rolling_cv_subset,2019-12-31,2020-01-01,2020-01-01,1,price_bh_v2_eqw_v2,c12afaeb7d19,da1e51e1afff,674b044bdd2a,7529b2c4a221,8064,8064,0.028361554863996004,0.017918721112953,0.06033045575537101,1.309731093209378,0.318849902493386,0.318849902493386,0.331713454004654,0.06171333803341301,0.06171333803341301,0.97966933890364,1.11043080366059,-0.313861215369026,0.547619047619047,5.066169023513794,0.007650136947631001,xgb_node2vec_corr_rolling_cv_y2020,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_node2vec
