date,ic,hit,daily_return,drawdown
2020-01-02,-0.10373900293255131,0.25,-0.0059123943819115584,0.0
2020-01-03,0.03409090909090909,0.5,0.0024448246386866808,0.0
2020-01-06,0.11180351906158356,0.35,-0.002844380100306172,-0.0028443801003061875
2020-01-07,-0.00036656891495601173,0.55,0.003210969786373884,0.0
2020-01-08,0.09787390029325513,0.75,0.003699130583511203,0.0
2020-01-09,-0.028592375366568914,0.45,-0.0012404379177056895,-0.0012404379177056724
2020-01-10,0.20234604105571843,0.7,0.0036602250579376217,0.0
2020-01-13,0.27675953079178883,0.45,0.001969191965973861,0.0
2020-01-14,-0.17338709677419353,0.6,0.005255676185611137,0.0
2020-01-15,0.06048387096774193,0.8,0.007632022802659456,0.0
2020-01-16,0.0879765395894428,0.5,0.000791402026905767,0.0
2020-01-17,0.7085777126099706,0.8,0.002813071901888406,0.0
2020-01-21,0.12976539589442815,0.55,-0.0008673803038805542,-0.0008673803038804495
2020-01-22,-0.35227272727272724,0.45,-0.0005104326763678778,-0.0013773702409983768
2020-01-23,0.2631964809384164,0.3,-0.008408132589799626,-0.009773921719186451
2020-01-24,-0.17521994134897356,0.3,-0.01267094320544134,-0.022321020117629597
2020-01-27,0.16715542521994134,0.75,0.006622747242428283,-0.015846099349633436
2020-01-28,-0.2719941348973607,0.35,-0.0002162222573813793,-0.016058895327642597
2020-01-29,-0.12646627565982405,0.55,0.002021949927417577,-0.014069415682467112
2020-01-30,0.23570381231671553,0.35,-0.010226157479121407,-0.02415169710118026
2020-01-31,-0.23277126099706744,0.55,0.004705213680129093,-0.019560122316650053
2020-02-03,-0.08724340175953077,0.7,0.010328764362242587,-0.009433389848712781
2020-02-04,0.059384164222873896,0.8,0.012680230882265806,0.0
2020-02-05,-0.3222140762463343,0.55,0.002172747041845066,0.0
2020-02-06,-0.02419354838709677,0.35,-0.003788424313668882,-0.003788424313668881
2020-02-07,-0.3420087976539589,0.65,0.0052932086578213015,0.0
2020-02-10,0.21224340175953074,0.7,0.000522075749176957,0.0
2020-02-11,-0.1099706744868035,0.7,0.006590071553555832,0.0
2020-02-12,0.03115835777126099,0.4,-0.0018776989372455105,-0.0018776989372455422
2020-02-13,0.17815249266862168,0.65,0.003470965684976299,0.0
2020-02-14,0.07001466275659823,0.45,-0.001573481292708653,-0.0015734812927087338
2020-02-18,-0.013929618768328446,0.55,0.0030106073413359085,0.0
2020-02-19,0.07734604105571846,0.5,-0.0019378255279939272,-0.0019378255279940415
2020-02-20,-0.043255131964809374,0.35,-0.006081764293326406,-0.00800780442321758
2020-02-21,0.15872434017595305,0.15,-0.030362505579438124,-0.03812717299617674
2020-02-24,-0.04728739002932551,0.0,-0.03218970673509073,-0.06908957721388242
2020-02-25,0.2107771260997067,0.5,-0.0019106348007484147,-0.07086820706403696
2020-02-26,-0.15175953079178883,0.05,-0.041921413430101154,-0.10981872508675661
2020-02-27,0.08247800586510264,0.3,-0.01149495931856962,-0.12005132262803664
2020-02-28,0.2631964809384164,1.0,0.0432205338007043,-0.08201947107479668
2020-03-02,-0.42851906158357767,0.05,-0.03148504422452945,-0.11092212862526363
2020-03-03,0.36180351906158353,1.0,0.0402327680884643,-0.07515206481365844
2020-03-04,-0.2551319648093841,0.0,-0.035023733837639515,-0.10754369273591535
2020-03-05,-0.25,0.2,-0.019543959285954232,-0.12498582246957768
2020-03-06,-0.29325513196480935,0.0,-0.08246258929440123,-0.19714175721804716
2020-03-09,0.5124633431085044,0.95,0.053071856061452885,-0.15453258011937243
2020-03-10,-0.15945747800586507,0.0,-0.05197269107697165,-0.19847379714847257
2020-03-11,-0.31598240469208205,0.0,-0.09552095613319048,-0.275036346410656
2020-03-12,0.07587976539589442,0.95,0.10039354096384773,-0.2022546781567336
2020-03-13,-0.028592375366568914,0.05,-0.11833649639269392,-0.29665706455732777
2020-03-16,0.17668621700879764,0.95,0.06205193164846513,-0.2530132768018083
2020-03-17,-0.3614369501466275,0.1,-0.03836534961537194,-0.281671683595348
2020-03-18,0.35300586510263926,0.7,0.004799483456631422,-0.27822407872433397
2020-03-19,-0.1689882697947214,0.1,-0.04352892420004318,-0.3096422080909589
2020-03-20,-0.282624633431085,0.15,-0.029517139496625044,-0.33001959533732006
2020-03-23,0.3233137829912023,1.0,0.11629919137838592,-0.2521014160356867
2020-03-24,0.34274193548387094,0.7,0.015797872390317935,-0.2402862096453191
2020-03-25,0.439149560117302,1.0,0.06307934805930755,-0.19236395903808035
2020-03-26,-0.35557184750733134,0.1,-0.0333573389462714,-0.2193045482016719
2020-03-27,0.2855571847507331,0.95,0.03763012679425005,-0.1899268793628065
2020-03-30,0.33027859237536655,0.2,-0.013574103885260919,-0.2009228960569932
2020-03-31,0.4728739002932551,0.25,-0.04050506543131222,-0.23328956643686827
2020-04-01,-0.2807917888563049,0.95,0.02534796412270662,-0.2138550178744052
2020-04-02,0.5285923753665689,0.3,-0.013741828304866867,-0.22465808724150782
2020-04-03,-0.25476539589442815,0.9,0.06395625375973461,-0.1750701231185675
2020-04-06,-0.46774193548387083,0.3,-0.004698159664662851,-0.17894577539230716
2020-04-07,-0.4816715542521994,0.8,0.022543120319803805,-0.16043665121789263
2020-04-08,-0.038489736070381225,0.7,0.017393092091897808,-0.14583404857554327
2020-04-09,0.04288856304985337,0.2,-0.0022692080558122107,-0.1477723288335162
2020-04-13,0.16825513196480937,0.85,0.02403043023914964,-0.12729293123367713
2020-04-14,0.48423753665689145,0.15,-0.015738763635255316,-0.1410282615118067
