date,ic,hit
2020-01-02,-0.05062603003112983,0.45
2020-01-08,-0.15250183116645302,0.5
2020-01-14,-0.0458878868339132,0.3
2020-01-21,0.07344121955685771,0.6
2020-01-27,0.20755127266068482,0.85
2020-01-31,-0.12489717556489327,0.6
2020-02-06,-0.04374198864676799,0.6
2020-02-12,0.029373054385643648,0.2
2020-02-19,0.08670573155099798,0.3
2020-02-25,-0.1701153634865409,0.4
2020-03-02,-0.08925791979490935,0.35
2020-03-06,-0.0014534883720930232,0.6
2020-03-12,0.056422816334004755,0.5
2020-03-18,0.14986952939022158,0.65
2020-03-24,-0.10440509979857168,0.25
2020-03-30,0.07829953305255448,0.85
2020-04-03,0.004291796374290423,0.35
2020-04-09,-0.20230383629371906,0.4
2020-04-16,0.22127357626808278,0.9
2020-04-22,0.054345586888848184,0.5
2020-04-28,0.28849455227980225,0.75
2020-05-04,-0.3378845449551364,0.15
2020-05-08,0.06066311115180369,0.65
2020-05-14,-0.14495971433803334,0.4
2020-05-20,0.1287825032045413,0.65
2020-05-27,-0.328042025270097,0.45
2020-06-02,0.09068279619117377,0.25
2020-06-08,-0.15122573704449735,0.45
2020-06-12,-0.18862158945248123,0.5
2020-06-18,0.10464544039553195,0.7
2020-06-24,-0.05614249928833353,0.4
2020-06-30,-0.00457219373741073,0.6
2020-07-07,0.15393242995788317,0.5
2020-07-13,-0.005934123786852224,0.45
2020-07-17,-0.03448315326863212,0.55
2020-07-23,0.275127037172679,0.45
2020-07-29,0.04712964658487457,0.45
2020-08-04,-0.04536714887383263,0.5
2020-08-10,0.2322548525911005,0.55
2020-08-14,-0.08308345541109687,0.5
2020-08-20,0.13693691631569307,0.65
2020-08-26,-0.0217622688152353,0.3
2020-09-01,-0.15342313678813402,0.55
2020-09-08,-0.08305484343526827,0.15
2020-09-14,0.06990241815907802,0.5
2020-09-18,0.256798205456876,0.75
2020-09-24,0.08496040102545321,0.65
2020-09-30,0.024268677897820914,0.75
2020-10-06,0.09502037172678995,0.35
2020-10-12,0.08232237685405602,0.6
2020-10-16,0.005035707745834096,0.45
2020-10-22,0.03841443874748214,0.75
2020-10-28,-0.028131294634682294,0.4
2020-11-03,-0.04023988280534701,0.45
2020-11-09,-0.21044108221937372,0.45
2020-11-13,-0.1692629687544203,0.3
2020-11-19,-0.052943600073246666,0.55
2020-11-25,0.06116095953122139,0.6
2020-12-02,0.06281473173411463,0.35
2020-12-08,-0.07552989379234572,0.5
2020-12-14,-0.18166887932613074,0.3
2020-12-18,-0.09932933528657754,0.4
2020-12-24,0.05342428126716718,0.7
2020-12-31,-0.05829403955319538,0.7
2021-01-07,0.03135872550814869,0.4
2021-01-13,-0.05088353781358725,0.3
2021-01-20,-0.0637245925654642,0.55
2021-01-26,0.28905534700604285,0.85
2021-02-01,0.046943735899688525,0.5
2021-02-05,0.00771379971875177,0.45
2021-02-11,-0.38302852041750596,0.35
2021-02-18,-0.02961339498260392,0.25
2021-02-24,-0.21788019593481048,0.45
2021-03-02,0.1324848928767625,0.7
2021-03-08,0.15509979857169015,0.6
2021-03-12,-0.033985304889214425,0.55
2021-03-18,0.15155763596410912,0.6
2021-03-24,-0.0257679454312397,0.3
2021-03-30,-0.09507187328328144,0.65
2021-04-06,-0.037372962827321006,0.55
2021-04-12,-0.0219282182750412,0.35
2021-04-16,0.19972875846914484,0.8
2021-04-22,-0.12673388573521333,0.45
2021-04-28,-0.16576062076542758,0.6
2021-05-04,0.07007645119941402,0.55
2021-05-10,0.09288019593481048,0.4
2021-05-14,-0.20975439479948726,0.6
2021-05-20,0.09710332356711225,0.6
2021-05-26,0.01914141182933529,0.5
2021-06-02,0.019742263321735943,0.5
2021-06-08,-0.07080891778062626,0.25
2021-06-14,0.08236243362021607,0.7
2021-06-18,0.18765450466947445,0.7
2021-06-24,0.07344694195202343,0.6
2021-06-30,-0.10929774766526276,0.5
2021-07-07,0.13962644204358177,0.35
2021-07-13,0.18053012268815233,0.8
2021-07-19,0.018111380699505585,0.4
2021-07-23,-0.03366485075993407,0.5
2021-07-29,-0.4297919337117744,0.45
2021-08-04,0.3455582768723677,0.95
2021-08-10,0.314691677348471,0.8
2021-08-16,0.365025865226149,0.75
2021-08-20,-0.09621062992125984,0.55
2021-08-26,-0.15144891045596043,0.4
2021-09-01,0.09281724958798754,0.45
2021-09-08,0.05989631019959714,0.4
2021-09-14,-0.07571301043764878,0.7
2021-09-20,0.11356093206372458,0.5
2021-09-24,-0.0704312396996887,0.75
2021-09-30,0.00274102728438015,0.5
2021-10-06,-0.12837621314777514,0.45
2021-10-12,0.05160455960446804,0.8
2021-10-18,-0.05840848745650979,0.45
2021-10-22,-0.1954312396996887,0.5
2021-10-28,-0.14031312946346822,0.4
2021-11-03,0.20499336202160776,0.6
2021-11-09,-0.27080662882255996,0.2
2021-11-15,0.07970151986815602,0.55
2021-11-19,-0.1413145486174693,0.4
2021-11-26,-0.12450215162058231,0.6
2021-12-02,0.08324940487090277,0.45
2021-12-08,-0.15182658853689798,0.45
2021-12-14,0.10462827321003479,0.95
2021-12-20,-0.04823406885185863,0.35
2021-12-27,0.256409082585607,0.55
2021-12-31,0.0777501831166453,0.7
2022-01-06,-0.08148118476469511,0.15
2022-01-12,-0.14818714521149973,0.35
2022-01-19,0.13184970701336748,0.65
2022-01-25,-0.07995330525544772,0.45
2022-01-31,0.027021149972532504,0.7
2022-02-04,-0.01674372825489837,0.3
2022-02-10,0.02747894158579015,0.1
2022-02-16,0.014157205639992674,0.55
2022-02-23,0.02123008606482329,0.4
