date,ic,hit
2020-01-02,0.016721670042686626,0.55
2020-01-27,-0.060731618280470454,0.45
2020-02-19,0.14428032838946683,0.5
2020-03-12,0.028240371190533416,0.5
2020-04-03,-0.1455970298176949,0.4
2020-04-28,0.07342968580126115,0.65
2020-05-20,-0.09446856653620352,0.5
2020-06-12,-0.018957881356097005,0.55
2020-07-07,-0.017226195482999737,0.45
2020-07-29,0.022775528289902838,0.45
2020-08-20,0.05794648579210584,0.75
2020-09-14,0.05101511762028905,0.3
2020-10-06,0.05417466452363311,0.5
2020-10-28,-0.20131750165308532,0.3
2020-11-19,-0.17782918499777492,0.25
2020-12-14,-0.023449749325371555,0.6
2021-01-07,0.01679274885272542,0.55
2021-02-01,-0.05010501782424096,0.55
2021-02-24,-0.026384543693709156,0.4
2021-03-18,-0.05632687240361176,0.6
2021-04-12,-0.007907271746718394,0.45
2021-05-04,-0.02717374200341035,0.75
2021-05-26,0.003592117502842203,0.6
2021-06-18,-0.011093211768004485,0.6
2021-07-13,-0.024783527025325873,0.35
2021-08-04,-0.09199538157608635,0.5
2021-08-26,0.053448135893386435,0.35
2021-09-20,-0.08522184110617766,0.35
2021-10-12,-0.018076951128466662,0.6
2021-11-03,0.004381941583410581,0.5
2021-11-26,0.061589297158421166,0.4
2021-12-20,-0.04524921750723841,0.65
2022-01-12,0.06094502809535253,0.4
2022-02-04,0.05162494206406427,0.5
2022-03-01,-0.0376923330014534,0.7
2022-03-23,0.10918232725077535,0.45
2022-04-14,0.008015186367745848,0.45
2022-05-09,-0.08340924013801627,0.55
2022-06-01,0.027513489774664973,0.4
2022-06-24,-0.06655203010362018,0.3
2022-07-19,-0.11385511335271135,0.45
2022-08-10,0.10898491591421475,0.5
2022-09-01,-0.00820481926849086,0.15
2022-09-26,-0.0834890808642611,0.35
2022-10-18,-0.006521369061924217,0.75
2022-11-09,-0.040768615870454716,0.4
2022-12-02,0.0386546247238795,0.2
2022-12-27,0.033492156475664045,0.5
2023-01-20,0.016955381125370265,0.5
2023-02-13,-0.010674428174872026,0.25
2023-03-08,0.014140570777609577,0.5
2023-03-30,-0.03786158442102564,0.5
2023-04-24,0.008950566426640843,0.4
2023-05-16,-0.00916532280019784,0.5
2023-06-08,0.040276830060310596,0.5
2023-07-03,-0.04895139532621508,0.5
2023-07-26,-0.038152602676975574,0.35
2023-08-17,-0.005442178269638188,0.7
2023-09-11,0.02343231647114339,0.35
2023-10-03,-0.01266919552280352,0.45
2023-10-25,-0.08483287270688135,0.55
2023-11-16,0.055136907067203075,0.35
2023-12-11,-0.09699237771234695,0.25
2024-01-04,-0.03776627368950062,0.65
2024-01-29,-0.0073214750632288475,0.4
2024-02-21,0.02749797822131801,0.55
2024-03-14,0.017462947596494482,0.65
2024-04-08,0.011534213573634555,0.5
2024-04-30,0.04894504740733112,0.65
2024-05-22,0.04056999662398004,0.55
2024-06-14,-0.022751569165455215,0.4
2024-07-10,-0.026210557071903503,0.55
2024-08-01,-0.05736687103542904,0.7
2024-08-23,0.02939926937687196,0.55
2024-09-17,0.014930171437846801,0.4
2024-10-09,-0.03992688985591833,0.35
2024-10-31,-0.06743179652899371,0.7
2024-11-22,0.1423251820981167,0.55
2024-12-17,0.01953536278324559,0.5
