date,ic,hit,daily_return,drawdown
2020-01-02,-0.4736070381231671,0.05,-0.010695387993307201,0.0
2020-01-03,0.06451612903225806,0.5,0.0026867777229371355,0.0
2020-01-06,0.13416422287390029,0.3,-0.003061299234465386,-0.003061299234465409
2020-01-07,0.038489736070381225,0.7,0.005329593708227285,0.0
2020-01-08,-0.07771260997067447,0.75,0.005889366039068925,0.0
2020-01-09,0.09310850439882698,0.45,-0.0011441228553831402,-0.0011441228553831229
2020-01-10,-0.03665689149560117,0.6,0.003781416371593784,0.0
2020-01-13,0.17082111436950145,0.6,-0.00034718223201650385,-0.00034718223201646303
2020-01-14,0.27712609970674484,0.65,0.0035394141764780013,0.0
2020-01-15,-0.12573313782991202,0.85,0.007233672679619535,0.0
2020-01-16,-0.1378299120234604,0.55,0.0016958375268371463,0.0
2020-01-17,0.19941348973607034,0.6,-0.0009943278473533725,-0.0009943278473535377
2020-01-21,0.1414956011730205,0.5,0.0002944734672316361,-0.0007001471832907002
2020-01-22,0.01099706744868035,0.55,0.0005159323426802587,-0.00018457606918698133
2020-01-23,-0.25806451612903225,0.2,-0.01086861561452569,-0.011051185597364954
2020-01-24,-0.2884897360703812,0.15,-0.01622217898745071,-0.027094090274031646
2020-01-27,0.3581378299120234,0.9,0.010942484926908122,-0.016448082021555455
2020-01-28,0.14846041055718476,0.45,0.00048485622037884655,-0.01597120075605818
2020-01-29,0.4208211143695014,0.65,0.005654548377384083,-0.01040696230599425
2020-01-30,0.41202346041055715,0.3,-0.00746454412796173,-0.01779382320458478
2020-01-31,0.02126099706744868,0.6,0.006375077179459688,-0.011532183021371933
2020-02-03,-0.2785923753665689,0.75,0.008782872297389404,-0.0028505964147693685
2020-02-04,-0.1983137829912023,0.75,0.01057166047984764,0.0
2020-02-05,0.12316715542521992,0.7,0.0025426764377040607,0.0
2020-02-06,-0.07074780058651026,0.3,-0.00412331084699373,-0.0041233108469936885
2020-02-07,-0.2848240469208211,0.6,0.002905209923526713,-0.001230080007057599
2020-02-10,0.06818181818181818,0.65,0.0018015444271141847,0.0
2020-02-11,0.1158357771260997,0.75,0.008625809424483547,0.0
2020-02-12,0.03958944281524926,0.4,-0.0006636211822399868,-0.0006636211822398375
2020-02-13,-0.19354838709677416,0.6,0.0026914356088794805,0.0
2020-02-14,0.10373900293255131,0.55,0.0011053968670939494,0.0
2020-02-18,-0.23607038123167154,0.5,0.0017399627409500848,0.0
2020-02-19,0.056451612903225805,0.45,-0.0013102365640949953,-0.001310236564095013
2020-02-20,-0.07368035190615835,0.35,-0.009584587288900635,-0.010882265776277933
2020-02-21,-0.1004398826979472,0.1,-0.0314345144641382,-0.041974701499469136
2020-02-24,0.20381231671554248,0.1,-0.025049782512329227,-0.06597302686821682
2020-02-25,0.35300586510263926,0.5,-0.0008468434553048321,-0.06676400149749162
2020-02-26,-0.5898093841642228,0.05,-0.04533033528149431,-0.10906790220637053
2020-02-27,0.2690615835777126,0.35,-0.004062815446004463,-0.11268759489462776
2020-02-28,0.10447214076246333,0.95,0.04100206602585196,-0.07630595307493981
2020-03-02,0.17668621700879764,0.2,-0.02167817139249329,-0.0963299509384069
2020-03-03,-0.20894428152492667,1.0,0.04039169002628304,-0.05982919043067514
2020-03-04,0.30608504398826974,0.15,-0.02878398452508369,-0.08689105246425388
2020-03-05,-0.48350439882697943,0.15,-0.0225077522856841,-0.10744308246523027
2020-03-06,-0.4596774193548387,0.0,-0.08176543869237755,-0.1804233903853769
2020-03-09,0.5447214076246334,1.0,0.05611019441623949,-0.13443678748089793
2020-03-10,0.2917888563049853,0.0,-0.045730876633364864,-0.17401975197098796
2020-03-11,-0.376466275659824,0.0,-0.10513587707138167,-0.2608599097911555
2020-03-12,0.5802785923753665,1.0,0.1151687623300945,-0.17573406041324846
2020-03-13,0.1788856304985337,0.1,-0.10123078805921489,-0.2591751510479845
2020-03-16,0.2133431085043988,0.85,0.052120510334665165,-0.2205629818520043
2020-03-17,-0.3174486803519061,0.05,-0.06196798841893917,-0.2688631259658918
2020-03-18,0.08321114369501466,0.65,0.015344327416705453,-0.2576443223842858
2020-03-19,-0.24743401759530786,0.1,-0.04413821586711547,-0.290410577533067
2020-03-20,-0.5351906158357771,0.1,-0.03866342787527502,-0.3178457369896752
2020-03-23,0.48680351906158353,0.95,0.1163728194650117,-0.23846152209308658
2020-03-24,0.10923753665689148,0.55,0.002862902328379971,-0.236281311811536
2020-03-25,0.4182551319648093,1.0,0.0637883659333769,-0.1875649446592117
2020-03-26,-0.08577712609970674,0.15,-0.03546237790905315,-0.21637582361826924
2020-03-27,-0.029692082111436948,0.95,0.035780130650398756,-0.18833764820651977
2020-03-30,-0.2892228739002932,0.15,-0.0223589221119488,-0.2064855435114713
2020-03-31,-0.22397360703812316,0.2,-0.04362000670015431,-0.24109864942017023
2020-04-01,0.2694281524926686,0.95,0.028937161671221345,-0.2191381983459335
2020-04-02,0.4527126099706744,0.3,-0.010721895641361336,-0.22751051709359382
2020-04-03,-0.14516129032258063,0.9,0.056828247926534625,-0.18361129323834802
2020-04-06,0.18988269794721407,0.5,0.0019423755618339534,-0.18202555976537693
2020-04-07,-0.6231671554252198,0.75,0.02369257766311659,-0.16264563681367383
2020-04-08,-0.04765395894428152,0.75,0.014729292237196372,-0.15031199969221087
2020-04-09,0.49816715542521983,0.4,0.0009707255443990797,-0.14948718584554266
2020-04-13,0.2848240469208211,0.95,0.028942955079603254,-0.12487083167084323
2020-04-14,0.00439882697947214,0.25,-0.01549584504717125,-0.13843169765953178
2020-04-15,-0.28445747800586507,0.5,-0.008948817081719991,-0.1461417148005847
2020-04-16,0.39222873900293254,0.75,0.03741839998431524,-0.1141917039550715
2020-04-17,0.4332844574780058,0.2,-0.017444702418470844,-0.129644366079388
2020-04-20,0.36803519061583573,0.15,-0.020311956960389545,-0.14732299225581602
2020-04-21,0.3724340175953079,0.95,0.026918297463459865,-0.12437037892110514
2020-04-22,0.10703812316715541,0.5,0.0012369132780833108,-0.12328730101610952
2020-04-23,0.05388563049853372,0.9,0.01374578404353856,-0.11123619758764913
2020-04-24,-0.4897360703812316,0.65,0.007349616475100037,-0.10470412450296662
2020-04-27,0.13013196480938416,0.45,-0.0034732147470858555,-0.10781367934074804
2020-04-28,-0.4043255131964809,0.7,0.01791489820133091,-0.09183025222951768
2020-04-29,0.5014662756598239,0.25,-0.0054038547692267175,-0.09673786965227449
2020-04-30,-0.049486803519061574,0.15,-0.025161720168860015,-0.11946549861521238
2020-05-01,-0.22030791788856302,0.5,0.0005944663702697945,-0.11894205046627693
2020-05-04,0.23277126099706744,0.8,0.0049298636797583915,-0.11459855488110826
2020-05-05,0.18841642228739003,0.35,-0.003400489269303814,-0.11760935299426101
2020-05-06,-0.3354105571847507,0.6,0.002656754938949503,-0.11526505728474568
2020-05-07,-0.5619501466275659,0.85,0.010070377391015656,-0.10635544252058449
2020-05-08,0.56341642228739,0.55,0.004272941913354016,-0.10253695123528994
2020-05-11,0.46224340175953077,0.25,-0.018294198648426345,-0.11895531852901386
2020-05-12,0.3614369501466275,0.25,-0.014144924012997408,-0.13141762860047645
2020-05-13,-0.439149560117302,0.9,0.010542856445220131,-0.1222602893479624
2020-05-14,0.4208211143695014,0.7,0.008657813480828789,-0.1146609826484204
2020-05-15,-0.3713343108504399,0.85,0.033366472256640724,-0.08512034288823733
2020-05-18,0.5685483870967741,0.4,-0.006253214979965954,-0.09084128206495479
2020-05-19,0.5197947214076246,0.9,0.021773213817387085,-0.07104597490541342
2020-05-20,0.06231671554252198,0.25,-0.005241923629691046,-0.07591548096045331
2020-05-21,-0.3837976539589442,0.4,-0.0039839632360566014,-0.07959699971131595
2020-05-22,0.04142228739002932,0.7,0.013180089445526788,-0.06746600584158002
2020-05-26,-0.038489736070381225,0.75,0.010882133812900987,-0.057318046132069034
2020-05-27,0.4321847507331378,0.45,-0.0007364789254692124,-0.058012311524512916
2020-05-28,0.26722873900293254,0.75,0.0038978415435384846,-0.05434059277887138
2020-05-29,-0.3310117302052786,0.45,6.507006108809424e-05,-0.054279058663475044
2020-06-01,-0.44721407624633425,0.75,0.005130634611558403,-0.04942691006897826
2020-06-02,-0.5355571847507331,0.6,0.007868027847000296,-0.04194777452679188
2020-06-03,-0.1528592375366569,0.2,-0.005776647402279285,-0.047482104426319616
