feature,importance
vol_z_5,0.050039273
volume_pct_change,0.048876848
rsi_14,0.047009
vol_z_20,0.045923777
emb_6,0.044064753
emb_5,0.043289542
emb_2,0.043070152
emb_4,0.041708674
emb_1,0.040944066
macd_signal,0.039729264
emb_7,0.039696626
vol_60d,0.039362993
macd_hist,0.039362144
macd_line,0.038336307
drawdown_20d,0.037932124
emb_0,0.037713807
vol_20d,0.03756146
emb_3,0.03664956
mom_10,0.03652381
vol_5d,0.036020353
mom_21d,0.03551491
mom_3d,0.034939334
ret_5d,0.028122153
log_ret_1d,0.027976379
ret_20d,0.027475003
ret_1d,0.02215762
