date,equal_weight
2020-01-02,1.0
2020-01-03,0.9936630084669689
2020-01-06,0.9961261061219198
2020-01-07,0.9930134368386655
2020-01-08,0.9971106037094534
2020-01-09,1.0025395123866485
2020-01-10,1.0005259667250077
2020-01-13,1.00540770489671
2020-01-14,1.0037984367317097
2020-01-15,1.0050896130256222
2020-01-16,1.0127703882786399
2020-01-17,1.0145368540154598
2020-01-21,1.013524413803637
2020-01-22,1.0130628078355792
2020-01-23,1.0134659075303112
2020-01-24,1.0044781095555777
2020-01-27,0.9917544445498049
2020-01-28,0.9987864653321471
2020-01-29,0.9975968221920024
2020-01-30,1.001438984219893
2020-01-31,0.9876772778403214
2020-02-03,0.9931772427614232
2020-02-04,1.0043740424984104
2020-02-05,1.0175382602795244
2020-02-06,1.0192559674795054
2020-02-07,1.0150184331336107
2020-02-10,1.020733319646573
2020-02-11,1.022872005924354
2020-02-12,1.0300343451214535
2020-02-13,1.0291614907531799
2020-02-14,1.0304570118436973
2020-02-18,1.0288154437083952
2020-02-19,1.0329942709132238
2020-02-20,1.0306823983893272
2020-02-21,1.022672051879792
2020-02-24,0.9900178099708001
2020-02-25,0.9623216244712312
2020-02-26,0.958996504371318
2020-02-27,0.920952526575922
2020-02-28,0.912158868696153
2020-03-02,0.9504422865752675
2020-03-03,0.9281259429433032
2020-03-04,0.9640119409828254
2020-03-05,0.9327385811494816
2020-03-06,0.9183448897121181
2020-03-09,0.852293928766986
2020-03-10,0.8877417409174875
2020-03-11,0.8435572314150488
2020-03-12,0.7682472815220619
2020-03-13,0.8368789491024856
2020-03-16,0.747499114090871
2020-03-17,0.7862428822381425
2020-03-18,0.7453440195625375
2020-03-19,0.7548507230128464
2020-03-20,0.7292952998618085
2020-03-23,0.7116647351417426
2020-03-24,0.7854371906950992
2020-03-25,0.7941313890293363
2020-03-26,0.8405668457821431
2020-03-27,0.8136496961205921
2020-03-30,0.8394141955478418
2020-03-31,0.8245914178259522
2020-04-01,0.7919094932043912
2020-04-02,0.8129649025966847
2020-04-03,0.7977534765568358
2020-04-06,0.8503528159425595
2020-04-07,0.8501984951269227
2020-04-08,0.8780284122495028
2020-04-09,0.8956603999698511
2020-04-13,0.8848504163265936
2020-04-14,0.9032215423004855
2020-04-15,0.8847227704129478
2020-04-16,0.8868735454228617
2020-04-17,0.9139248995545213
2020-04-20,0.8966500715090834
2020-04-21,0.8737632216887901
2020-04-22,0.8908831229016771
2020-04-23,0.8918852404947571
2020-04-24,0.9024312073516556
2020-04-27,0.9173874300462403
2020-04-28,0.9145241373322464
2020-04-29,0.9340831554494053
2020-04-30,0.921722857402135
2020-05-01,0.8974257279166915
2020-05-04,0.8998410323063639
2020-05-05,0.902812836408489
2020-05-06,0.8954412076978955
2020-05-07,0.9033274641790472
2020-05-08,0.9182881139993655
2020-05-11,0.9136560017870692
2020-05-12,0.8952379916239361
2020-05-13,0.8786682865569931
2020-05-14,0.893068609574355
2020-05-15,0.8948218987270441
2020-05-18,0.9258735981127372
2020-05-19,0.9135472064846746
2020-05-20,0.928237499576945
2020-05-21,0.9222773585467852
2020-05-22,0.9217135953567501
2020-05-26,0.9414920655437339
2020-05-27,0.9597416915786616
2020-05-28,0.9545708049910712
2020-05-29,0.9539694635402826
2020-06-01,0.9574212672577502
2020-06-02,0.9648290314327721
2020-06-03,0.9813524321902637
2020-06-04,0.9802332707104938
2020-06-05,1.0043045007737803
2020-06-08,1.0176388331928392
2020-06-09,1.0099805712630285
2020-06-10,0.9992113464044459
2020-06-11,0.9400661874120926
2020-06-12,0.9555643081904535
2020-06-15,0.9616263678719228
2020-06-16,0.9772718485513198
2020-06-17,0.9691437659776756
2020-06-18,0.9689531368008275
2020-06-19,0.9627927724678813
2020-06-22,0.9688194397003006
2020-06-23,0.9716382753723086
2020-06-24,0.949716351297329
2020-06-25,0.9616721227854078
2020-06-26,0.9346481208413029
2020-06-29,0.9481348026784877
2020-06-30,0.9587306850866326
2020-07-01,0.9597979123094244
2020-07-02,0.9648706825559001
2020-07-06,0.9795004666901655
2020-07-07,0.9690265219408329
2020-07-08,0.9762149349125954
2020-07-09,0.9708376929353538
2020-07-10,0.9870800228037463
2020-07-13,0.9847614726284789
2020-07-14,0.9968404049263264
2020-07-15,1.003831155180877
2020-07-16,1.0004229834794331
2020-07-17,0.9976706712699042
2020-07-20,1.0014240456178183
2020-07-21,1.0142495878856517
2020-07-22,1.0191336022904558
2020-07-23,1.011688823325056
2020-07-24,1.0085014234583731
2020-07-27,1.0111337879293196
2020-07-28,1.007528352007667
2020-07-29,1.0163397067469324
2020-07-30,1.006150829676423
2020-07-31,1.0066203448427278
2020-08-03,1.0117103976010358
2020-08-04,1.0188703033438806
2020-08-05,1.029693617903165
2020-08-06,1.0337528859139906
2020-08-07,1.0365513646863453
2020-08-10,1.0430771463346493
2020-08-11,1.0367463647370265
2020-08-12,1.046628719520996
2020-08-13,1.0428308433480091
2020-08-14,1.0431448515493134
2020-08-17,1.0439478830379898
2020-08-18,1.0431566863016302
2020-08-19,1.0383521758733543
2020-08-20,1.0369285024016137
2020-08-21,1.041051079372546
2020-08-24,1.0531604449703436
2020-08-25,1.0519279114546762
2020-08-26,1.0532062815136194
2020-08-27,1.0568572521646729
2020-08-28,1.065759299373717
2020-08-31,1.0578861754709636
2020-09-01,1.0655407319956824
2020-09-02,1.0818054088076914
2020-09-03,1.0540453490982493
2020-09-04,1.0487702439126758
2020-09-08,1.027443443224049
2020-09-09,1.043846719478044
2020-09-10,1.030355664133121
2020-09-11,1.033290676317035
