date,buy_and_hold
2020-01-02,1.0
2020-01-03,0.9919461013664276
2020-01-06,0.9964870744443718
2020-01-07,0.9946895820007073
2020-01-08,1.0002213248314682
2020-01-09,1.007012936683385
2020-01-10,1.0052222098213517
2020-01-13,1.011878491148409
2020-01-14,1.0080799777084957
2020-01-15,1.0100367754546837
2020-01-16,1.0198288464143668
2020-01-17,1.0225268068054612
2020-01-21,1.0240016011571045
2020-01-22,1.0240700583730524
2020-01-23,1.0253178755809946
2020-01-24,1.0157326644042433
2020-01-27,0.9978577819081887
2020-01-28,1.0096987353746782
2020-01-29,1.0096727435183592
2020-01-30,1.0123805388356721
2020-01-31,1.000699829372437
2020-02-03,1.00807875166241
2020-02-04,1.0248522695477276
2020-02-05,1.0354558746890952
2020-02-06,1.0399560214044883
2020-02-07,1.0362550308280176
2020-02-10,1.0490146078135003
2020-02-11,1.0525461735603119
2020-02-12,1.0638463434832515
2020-02-13,1.0621792317446959
2020-02-14,1.0698785721736108
2020-02-18,1.0722910159829044
2020-02-19,1.0831631388647127
2020-02-20,1.078092040509523
2020-02-21,1.0610574408960463
2020-02-24,1.0177055788191145
2020-02-25,0.9884073474023649
2020-02-26,0.9894569936178053
2020-02-27,0.9442605467728334
2020-02-28,0.943875201960826
2020-03-02,0.9885087019522893
2020-03-03,0.9628186430131055
2020-03-04,1.0090567234373797
2020-03-05,0.9768074579526044
2020-03-06,0.961262691547234
2020-03-09,0.8978815912740755
2020-03-10,0.9393158651877354
2020-03-11,0.8955613742820051
2020-03-12,0.8112440787203947
2020-03-13,0.8837838385349425
2020-03-16,0.7775135862816798
2020-03-17,0.8260785809982536
2020-03-18,0.7899360577377476
2020-03-19,0.8020077507959208
2020-03-20,0.7711101506375028
2020-03-23,0.764086877832124
2020-03-24,0.838138489814734
2020-03-25,0.8409001154716716
2020-03-26,0.8885271655167054
2020-03-27,0.8622579069534484
2020-03-30,0.8936719619486091
2020-03-31,0.8796964670536466
2020-04-01,0.8413716006536999
