date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.08907311633867099,-0.03371270306754178
2020-04-02,-0.09134323242269536,-0.0382919052273891
2020-04-03,-0.0655419531141658,-0.03410254619932039
2020-04-06,-0.06247530310899005,-0.029005492715170136
2020-04-07,-0.051868959636759984,-0.02756249127216869
2020-04-08,-0.04196265902555812,-0.026160219708606804
2020-04-09,-0.04558830569316006,-0.012835730577666061
2020-04-13,-0.04003148790008106,-0.01330703346832379
2020-04-14,-0.04603359486588748,-0.011596378531862402
2020-04-15,-0.04288710260435828,-0.005853465530884887
2020-04-16,-0.03971229126623207,0.0042184517990969585
2020-04-17,-0.04492883686717115,0.0080121491411814
2020-04-20,-0.055122041332588516,0.009862449378578409
2020-04-21,-0.0475645241492012,0.011258902387934646
2020-04-22,-0.04821595343338773,0.014860587441232602
2020-04-23,-0.03964400038726871,0.022826188148768793
2020-04-24,-0.023899074347848954,0.03289228692454498
2020-04-27,-0.026663440613480062,0.020516222129125353
2020-04-28,-0.019034523751036106,0.022832006702974444
2020-04-29,-0.023442880492289667,0.020719871526323135
2020-04-30,-0.0239015451165646,0.017263650328166454
2020-05-01,-0.025798561801543995,0.022977470558115724
2020-05-04,-0.029081092379053132,0.02813270958432249
2020-05-05,-0.040062893499612576,0.011555648652422847
2020-05-06,-0.035823865691647735,0.014208909370199694
2020-05-07,-0.02519697841505432,0.022232695619792395
2020-05-08,-0.03064739506136145,0.019643438998277706
2020-05-11,-0.04062929607397689,0.014988595633756924
2020-05-12,-0.04951151711535178,0.012730996601964343
2020-05-13,-0.04306737403158288,0.016885444304799144
2020-05-14,-0.042142790118708036,0.017874598519759807
2020-05-15,-0.027326678387516932,0.03560373318437834
2020-05-18,-0.03356496538564077,0.029657170786203044
2020-05-19,-0.02546747080339971,0.030337941628264208
2020-05-20,-0.026753933262472912,0.03412000186193734
2020-05-21,-0.018260066205574514,0.03343923101987618
2020-05-22,0.006746339763977397,0.04337732160312805
2020-05-26,0.020035024243935887,0.04024693944048783
2020-05-27,0.03737616053639776,0.054205650979844526
2020-05-28,0.04088298852431945,0.04786924544989061
2020-05-29,0.02485463665364257,0.04342968859097891
2020-06-01,0.039060685206525794,0.04795652376297537
2020-06-02,0.0275182797911192,0.049737001349904573
2020-06-03,0.043029767535234416,0.05619559651817716
2020-06-04,0.06185986826081775,0.06808290276032211
2020-06-05,0.10923222489582053,0.07077107480333286
2020-06-08,0.08510454370960617,0.0686298468556533
2020-06-09,0.10459268826737085,0.07060233673136898
2020-06-10,0.12475767925119784,0.07625797141926173
2020-06-11,0.09143668286827317,0.0784806591258204
2020-06-12,0.17489073601467825,0.08012149141181397
2020-06-15,0.15836129887984657,0.08276311502117951
2020-06-16,0.19750266052969115,0.08373481357352323
2020-06-17,0.18509426925178,0.0755131964809384
2020-06-18,0.20535172550079753,0.0692117022762184
2020-06-19,0.2327376259628417,0.07205115672857607
2020-06-22,0.19565705004634149,0.05899432109109528
2020-06-23,0.1565058973318942,0.04155029558255364
2020-06-24,0.13215000656600837,0.04251035702648606
2020-06-25,0.13279727914492456,0.04500651678071032
2020-06-26,0.12441660019201205,0.04868384303868174
2020-06-29,0.14704372755844272,0.04263254666480473
2020-06-30,0.1810898701638202,0.04093352883675465
2020-07-01,0.1665304990686824,0.03884466787692594
2020-07-02,0.19127271330982082,0.051110180142438205
2020-07-06,0.14113762630860777,0.038501373178792535
2020-07-07,0.14444831651571347,0.034370199692780344
2020-07-08,0.10897636816426097,0.023687334171205138
2020-07-09,0.10451516257664206,0.03839082064888516
2020-07-10,0.1174044132625133,0.03373597728436438
2020-07-13,0.11181980504717283,0.03632523390587907
2020-07-14,0.139145307140296,0.03947307173113624
2020-07-15,0.12993149056010989,0.031699483312386534
2020-07-16,0.11094424048916939,0.020591863333798817
2020-07-17,0.1318031652319457,0.022564353209514502
2020-07-20,0.16876281125626516,0.038332635106828654
2020-07-21,0.15559597954084933,0.03939743052646278
2020-07-22,0.14590615542789423,0.045082157985383786
2020-07-23,0.12670112741437953,0.03249080668435508
2020-07-24,0.10524192735628692,0.02237234092072802
2020-07-27,0.10155477531504045,0.022884373690825306
2020-07-28,0.09429089074571774,0.0326653633105246
2020-07-29,0.09121752027945944,0.030849974398361495
2020-07-30,0.11399306340865506,0.034405111018014245
2020-07-31,0.11424262232675353,0.030890704277801054
2020-08-03,0.11514520939594265,0.030710329097425874
2020-08-04,0.1407258520522443,0.043994088348927055
2020-08-05,0.13333425679941197,0.03338686403202532
2020-08-06,0.1225808249510045,0.0392054182376763
2020-08-07,0.14417876642572494,0.04558837220127543
2020-08-10,0.17090903617795114,0.05274519387422613
2020-08-11,0.19807164194376226,0.06051296373877019
2020-08-12,0.17499082399739638,0.046641530512498246
2020-08-13,0.17366373741188734,0.05406018712470324
2020-08-14,0.14649090569683643,0.0365463389656938
2020-08-17,0.16410140802649467,0.03363124330866266
2020-08-18,0.13888193047746122,0.03125145463855142
2020-08-19,0.14688504716099865,0.02073150863473444
2020-08-20,0.1496758451029408,0.021115533212307407
2020-08-21,0.13528811494111048,0.026317320672159385
2020-08-24,0.10293022386591488,0.026491877298328914
2020-08-25,0.09837987317994913,0.01470930503188568
2020-08-26,0.1037019270465246,0.02042894381604059
2020-08-27,0.11224590921895074,0.022936740678676168
2020-08-28,0.09687278676002781,0.01959107201042685
2020-08-31,0.09109913786515494,0.013097565516920357
