strategy_name,strategy_kind,strategy_label,rebalance_freq,rebalance_label,cost_bps,cost_label,portfolio_final_value,portfolio_annualized_return,portfolio_sharpe_annualized,portfolio_max_drawdown,portfolio_turnover,n_points,detail
xgb_node2vec_corr_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),1,reb=1,0,gross (0 bps),1.7477071345368551,0.119951413221014,0.6601739988995341,-0.29483872443435605,0.5656847133757961,1256,
xgb_node2vec_corr_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),5,reb=5,0,gross (0 bps),2.011157102306581,0.15194962775870702,0.8058302190730461,-0.32841801947119004,0.136146496815286,1256,
xgb_node2vec_corr_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),21,reb=21,0,gross (0 bps),1.8352914206413724,0.13087902852933064,0.7219843143306452,-0.2969289081674049,0.034235668789808923,1256,
xgb_raw_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),1,reb=1,0,gross (0 bps),1.499533759701447,0.08543983179181601,0.511486332781339,-0.291507335396396,0.602229299363057,1256,
xgb_raw_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),5,reb=5,0,gross (0 bps),1.872559557908624,0.13491434348428902,0.738978064491419,-0.31168445919945903,0.140207006369426,1256,
xgb_raw_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),21,reb=21,0,gross (0 bps),1.8816403803491195,0.13590212433284132,0.7784035469070005,-0.2744031743594393,0.03590764331210192,1256,
gat_corr_sector_granger_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),1,reb=1,0,gross (0 bps),1.43792772173391,0.077123201532362,0.455038751658113,-0.32119661841893804,0.5822452229299361,1256,
gat_corr_sector_granger_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),5,reb=5,0,gross (0 bps),1.853076738280619,0.13335721489138402,0.702959157940076,-0.308935219402487,0.146894904458598,1256,
gat_corr_sector_granger_tuned_all,model_topk_long_only,Top K long-only (equal weight within Top K),21,reb=21,0,gross (0 bps),1.9519441104291009,0.14512295413432263,0.7653220072302555,-0.2983651268824964,0.03718152866242039,1256,
"Equal weight (rebalanced, all assets)",baseline_equal_weight,"Equal weight (rebalanced, all assets)",1,reb=1,0,gross (0 bps),1.9868601593707902,0.14768677112365602,0.8041563093083701,-0.3112345749237915,0.011461610583265669,1256,
Buy and hold (fixed shares),baseline_buy_and_hold,Buy and hold (fixed shares),1,reb=1,0,gross (0 bps),2.407432576265708,0.19292970704619483,0.9566326214293598,-0.2986234113856566,0.0,1256,
"Equal weight (rebalanced, all assets)",baseline_equal_weight,"Equal weight (rebalanced, all assets)",5,reb=5,0,gross (0 bps),1.9695125920214247,0.1456692112801692,0.7976064107755235,-0.3136352988773329,0.005677038048686297,1256,
Buy and hold (fixed shares),baseline_buy_and_hold,Buy and hold (fixed shares),5,reb=5,0,gross (0 bps),2.407432576265708,0.19292970704619483,0.9566326214293598,-0.2986234113856566,0.0,1256,
"Equal weight (rebalanced, all assets)",baseline_equal_weight,"Equal weight (rebalanced, all assets)",21,reb=21,0,gross (0 bps),1.9685480556673909,0.1455566173426528,0.8033473131931261,-0.3095585835922766,0.0032683370151062163,1256,
Buy and hold (fixed shares),baseline_buy_and_hold,Buy and hold (fixed shares),21,reb=21,0,gross (0 bps),2.407432576265708,0.19292970704619483,0.9566326214293598,-0.2986234113856566,0.0,1256,
