strategy,cost_bps,cost_label,sharpe_mean,ann_return_mean,max_dd_mean,turnover_mean,n_runs
long_only_topk,0,gross (0 bps),0.7970677771570646,0.15636229306695007,-0.31664977866405264,0.33625,30
long_only_topk,5,net (5 bps),0.5916085758986999,0.10862520515002352,-0.32080060057979926,0.33625,30
long_only_topk,10,net (10 bps),0.38617491811760224,0.06354028746077724,-0.328367964724029,0.33625,30
long_short_top3_bottom3,0,gross (0 bps),0.13097445872349037,0.00966987350505623,-0.2846519117770905,0.2052717049361098,30
long_short_top3_bottom3,5,net (5 bps),-0.04746373982712334,-0.015856028814584144,-0.32866565974681256,0.2052717049361098,30
long_short_top3_bottom3,10,net (10 bps),-0.22564645071245268,-0.04053033577973258,-0.3784755180424828,0.2052717049361098,30
