run_tag,model_name,edge_type,rebalance_freq,rebalance_label,active_return_annualized,tracking_error_annualized,information_ratio_annualized,relative_final_value,relative_max_drawdown,active_return_mean_daily_arithmetic,active_return_type,annualization_days
mlp_tuned_all,mlp,none,1,reb=1,0.026136118823561007,0.3095068523355363,0.08444439477296888,1.1173662217584912,-0.17598352687704477,0.0001037147572363532,arithmetic,252
xgb_node2vec_corr_tuned_all,xgb_node2vec,node2vec_correlation,1,reb=1,-0.023574090106068188,0.3043426247028428,-0.0774590484296628,0.8796326839078242,-0.23121241620045496,-9.35479766113817e-05,arithmetic,252
gcn_sector_only_tuned_all,gcn,sector,1,reb=1,-0.02841796536374102,0.3109808056470276,-0.0913817343312058,0.8479681659331284,-0.2531978161198325,-0.00011276970382436912,arithmetic,252
gat_corr_only_tuned_all,gat,corr,1,reb=1,-0.033150394591211205,0.3182252698046821,-0.10417272836804574,0.8209298991233038,-0.2510845252362748,-0.00013154918488575876,arithmetic,252
lstm_tuned_all,lstm,none,1,reb=1,-0.04081922554601189,0.31568946259792746,-0.12930183101486856,0.7923566750100731,-0.26735563550994135,-0.00016198105375401543,arithmetic,252
tgat_static_corr_only_tuned_all,tgat_static,corr,1,reb=1,-0.04330975721377228,0.3210310134465703,-0.13490832785530985,0.7793883408358743,-0.3142666131659131,-0.00017186411592766778,arithmetic,252
gat_granger_only_tuned_all,gat,granger,1,reb=1,-0.04846201946357586,0.31479555517077396,-0.15394759763137575,0.7644552932471397,-0.3013798854160836,-0.00019230960104593594,arithmetic,252
gcn_granger_only_tuned_all,gcn,granger,1,reb=1,-0.046360885317437865,0.30092697210561087,-0.15406025253584593,0.7873717033554395,-0.3123067934006677,-0.00018397176713268995,arithmetic,252
gcn_corr_sector_granger_tuned_all,gcn,corr+sector+granger,1,reb=1,-0.05297559946577887,0.29817640276412216,-0.17766529804065745,0.765639801314837,-0.370994790469241,-0.0002102206328007098,arithmetic,252
gat_sector_only_tuned_all,gat,sector,1,reb=1,-0.05549087220523666,0.3080701941545755,-0.18012411865262726,0.7411878325437046,-0.34061251163038286,-0.0002202018738303042,arithmetic,252
xgb_raw_tuned_all,xgb_raw,none,1,reb=1,-0.05555609133144009,0.3023074383117499,-0.18377348450867004,0.7547253653605533,-0.33219347930800236,-0.00022046067988666703,arithmetic,252
graphlasso_linear_tuned_all,graphlasso_linear,graphlasso,1,reb=1,-0.0627322745610048,0.32046440583775465,-0.19575426605338825,0.7052704757405874,-0.37589772124314125,-0.0002489375974643048,arithmetic,252
gat_corr_sector_granger_tuned_all,gat,corr+sector+granger,1,reb=1,-0.06108570657414176,0.3085388764778524,-0.19798382385866578,0.7237186346266471,-0.359706868355107,-0.00024240359751643556,arithmetic,252
tgcn_static_corr_only_tuned_all,tgcn_static,corr,1,reb=1,-0.07113723102966653,0.3011776761386962,-0.2361968919532632,0.6901367760999129,-0.41274532489128224,-0.00028229059932407353,arithmetic,252
gcn_corr_only_tuned_all,gcn,corr,1,reb=1,-0.07121625185945324,0.29612656179408875,-0.2404926171701321,0.7016636375049917,-0.41401662294725217,-0.0002826041740454494,arithmetic,252
mlp_tuned_all,mlp,none,5,reb=5,0.018425175190010912,0.316815514942104,0.058157427023035765,1.0660754783311315,-0.20416867787469073,7.311577456353536e-05,arithmetic,252
