run_tag,model_name,edge_type,rebalance_freq,rebalance_label,cost_bps,cost_label,strategy_label,portfolio_final_value,portfolio_annualized_return,portfolio_sharpe_annualized,portfolio_max_drawdown,portfolio_turnover,n_points,turnover_definition,cost_formula
mlp_tuned_all,mlp,none,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),2.220050429438612,0.17487210424978006,0.8702984391604665,-0.28062674388166,0.509952229299363,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
mlp_tuned_all,mlp,none,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.6117829819700744,0.10188074695578786,0.5625896249255901,-0.2870104871873844,0.509952229299363,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
mlp_tuned_all,mlp,none,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.1700674665036876,0.03340537634807972,0.25505174374529577,-0.29733888640835004,0.509952229299363,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_node2vec_corr_tuned_all,xgb_node2vec,node2vec_correlation,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),2.492792342826601,0.2025331719114125,1.0166724408030363,-0.2894475800381865,0.5656847133757962,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_node2vec_corr_tuned_all,xgb_node2vec,node2vec_correlation,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.74770713453685,0.11995141322101377,0.6601745228942698,-0.2948387244343559,0.5656847133757962,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
xgb_node2vec_corr_tuned_all,xgb_node2vec,node2vec_correlation,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.2251922902830301,0.04301822948145828,0.30374766972869277,-0.3004818780580566,0.5656847133757962,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_sector_only_tuned_all,gcn,sector,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),2.4202819720526763,0.19632484175177067,0.9547813188479483,-0.3147117204067851,0.5769904458598726,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_sector_only_tuned_all,gcn,sector,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.6847941653072485,0.11257447259433051,0.6060520126185742,-0.3193600094632729,0.5769904458598726,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_sector_only_tuned_all,gcn,sector,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.1726766156851167,0.03466357017222954,0.2575306774724594,-0.3259637157127486,0.5769904458598726,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gat_corr_only_tuned_all,gat,corr,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),2.2529097333718764,0.17943814428278437,0.8624824154821445,-0.34790882958338387,0.5145700636942675,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gat_corr_only_tuned_all,gat,corr,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.6310729102043735,0.10554334286004097,0.5625314388941163,-0.35106543353535724,0.5145700636942675,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gat_corr_only_tuned_all,gat,corr,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.180757300065446,0.03625803221863677,0.2625157329788369,-0.3547745764971202,0.5145700636942675,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_granger_only_tuned_all,gcn,granger,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),2.1119081967150226,0.16325219197039642,0.8599348653576393,-0.28427767390561454,0.4779458598726115,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_granger_only_tuned_all,gcn,granger,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.5643974680128339,0.09539089700938619,0.55412949933408,-0.2901849324185526,0.4779458598726115,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_granger_only_tuned_all,gcn,granger,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.1587339441957436,0.031471627080849274,0.24848481921855214,-0.2960454912105913,0.4779458598726115,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_corr_sector_granger_tuned_all,gcn,corr+sector+granger,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),2.135448561876722,0.1660951626971947,0.8936406225337199,-0.2447605516993714,0.540127388535032,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_corr_sector_granger_tuned_all,gcn,corr+sector+granger,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.5212192176610169,0.0894934023440992,0.5365347563783074,-0.2511437884263653,0.540127388535032,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
gcn_corr_sector_granger_tuned_all,gcn,corr+sector+granger,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.0835471762334876,0.01790178152087929,0.17978614673525564,-0.2706158839751881,0.540127388535032,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
lstm_tuned_all,lstm,none,1,reb=1,0,gross (0 bps),Top K long-only (equal weight within Top K),1.9866708654549523,0.14983736824365468,0.7502266058080216,-0.348863514571227,0.37054140127388535,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
lstm_tuned_all,lstm,none,1,reb=1,5,net (5 bps),Top K long-only (equal weight within Top K),1.5743019095890198,0.09750997100618708,0.5322899348617012,-0.35233756308434294,0.37054140127388535,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
lstm_tuned_all,lstm,none,1,reb=1,10,net (10 bps),Top K long-only (equal weight within Top K),1.2474652794550476,0.047553489847817154,0.31440454158361364,-0.35579407754285275,0.37054140127388535,1256,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates
