date,ic,hit
2020-01-02,0.01215063200238038,0.4
2020-01-27,0.00323976351049603,0.65
2020-02-19,0.0516720597154988,0.35
2020-03-12,0.01671791493574118,0.65
2020-04-03,-0.048085396138748696,0.55
2020-04-28,0.07937938453439534,0.7
2020-05-20,-0.060121855008525876,0.5
2020-06-12,-0.13309605825297535,0.6
2020-07-07,-0.02179884285485403,0.5
2020-07-29,0.13356575657179479,0.55
2020-08-20,-0.028303760972064863,0.55
2020-09-14,0.0013315436366422326,0.4
2020-10-06,-0.017599293753727797,0.55
2020-10-28,-0.08112931088801553,0.55
2020-11-19,-0.1733471962357381,0.3
2020-12-14,-0.05234632610051291,0.7
2021-01-07,0.054336755129833714,0.55
2021-02-01,0.07840734827937423,0.65
2021-02-24,-0.0483349319360044,0.6
2021-03-18,-0.033947329081837015,0.45
2021-04-12,-0.07540066991107906,0.45
2021-05-04,-0.05443850064659365,0.65
2021-05-26,-0.004237057135138099,0.6
2021-06-18,0.06910219326855953,0.5
2021-07-13,-0.10988649921035466,0.35
2021-08-04,0.14838904123894212,0.45
2021-08-26,-0.0584052346906078,0.4
2021-09-20,-0.07527067336735714,0.45
2021-10-12,0.014824179071577058,0.6
2021-11-03,-0.020403194773463338,0.35
2021-11-26,-0.0693512820292741,0.35
2021-12-20,0.005223979612272691,0.6
2022-01-12,-0.005723051206784084,0.4
2022-02-04,0.046182987434339275,0.25
2022-03-01,0.09219887260960621,0.45
2022-03-23,0.005290230427667342,0.45
2022-04-14,-0.013519636705920051,0.35
2022-05-09,-0.04397569980888294,0.45
2022-06-01,0.14317847272290316,0.25
2022-06-24,-0.09765575825980476,0.4
2022-07-19,-0.07588199585100908,0.7
2022-08-10,0.07042041462102747,0.5
2022-09-01,0.10410560147514905,0.4
2022-09-26,0.02072747508039505,0.35
2022-10-18,-0.072972456826999,0.45
2022-11-09,0.053685513496692865,0.8
2022-12-02,-0.04178249476838713,0.3
2022-12-27,-0.06286594411256452,0.55
2023-01-20,-0.08290637058601419,0.2
2023-02-13,0.0224050249054121,0.35
2023-03-08,0.05840224085117905,0.55
2023-03-30,0.002796839665949244,0.45
2023-04-24,0.04658362574741182,0.7
2023-05-16,-0.018422824543417027,0.65
2023-06-08,0.15019229723853011,0.55
2023-07-03,-0.00557427744589785,0.55
2023-07-26,-0.03662744807553112,0.5
2023-08-17,0.09979487504333741,0.6
2023-09-11,0.05837224861277867,0.45
2023-10-03,0.0880957108896416,0.6
2023-10-25,-0.00012123630995296461,0.5
2023-11-16,-0.021656641015187824,0.4
2023-12-11,0.027593023742876657,0.55
2024-01-04,0.08055755113913743,0.65
2024-01-29,-0.04266400518991543,0.35
2024-02-21,-0.019989462901453633,0.4
2024-03-14,-0.013733410807753137,0.45
2024-04-08,-0.02275112060328656,0.4
2024-04-30,-0.013778023826690012,0.6
2024-05-22,0.033108509716071,0.55
2024-06-14,-0.0358703046742057,0.55
2024-07-10,-0.044015128431810116,0.4
2024-08-01,0.03138286627466698,0.65
2024-08-23,0.09928914259305921,0.5
2024-09-17,0.038344649579335255,0.7
2024-10-09,-0.07267070716173997,0.4
2024-10-31,-0.10710584251725203,0.7
2024-11-22,0.015372246914039487,0.55
2024-12-17,-0.008437285420004575,0.65
