,value
2020-01-02,0.9949669046932647
2020-01-03,0.9967948840577799
2020-01-06,0.9948454103112575
2020-01-07,0.9968383813563048
2020-01-08,1.0012186637195615
2020-01-09,0.9985814198924626
2020-01-10,1.0008928182529455
2020-01-13,1.0005832763672216
2020-01-14,1.0009660788244206
2020-01-15,1.0065465130161035
2020-01-16,1.007997376374187
2020-01-17,1.0055227656913632
2020-01-21,1.0046806181762724
2020-01-22,1.0045233111873417
2020-01-23,0.9946663070626456
2020-01-24,0.976885174662667
2020-01-27,0.9856870184911767
2020-01-28,0.9849255586339141
2020-01-29,0.9865323547143251
2020-01-30,0.9738557986435541
2020-01-31,0.9804557165064876
2020-02-03,0.9957981655048567
2020-02-04,1.0078268503096246
2020-02-05,1.0109626236756297
2020-02-06,1.006313295702985
2020-02-07,1.00986357610211
2020-02-10,1.0130221401227664
2020-02-11,1.02192311456559
2020-02-12,1.0200948865773936
2020-02-13,1.0212862076069218
2020-02-14,1.0200972950294431
2020-02-18,1.0264627883416009
2020-02-19,1.0212029733746497
2020-02-20,1.008032727734747
2020-02-21,0.9690881185559453
2020-02-24,0.9373511045164117
2020-02-25,0.9366537746774678
2020-02-26,0.896015376032604
2020-02-27,0.8883949604306424
2020-02-28,0.9256211204340846
2020-03-02,0.9046298890261931
2020-03-03,0.9312581543030449
2020-03-04,0.8976385764031123
2020-03-05,0.8820793672476457
2020-03-06,0.8083816746761998
2020-03-09,0.854362362318629
2020-03-10,0.8089282047833525
2020-03-11,0.727782456837453
2020-03-12,0.8072279539600248
2020-03-13,0.7011860225274521
2020-03-16,0.7380934811125951
2020-03-17,0.688099709490411
2020-03-18,0.7050873860215995
2020-03-19,0.678135264764615
2020-03-20,0.6590946516071637
2020-03-23,0.7465794969415942
2020-03-24,0.7625238568805145
2020-03-25,0.8159185115176152
2020-03-26,0.7848542012171864
2020-03-27,0.8099447015792692
2020-03-30,0.7967151608487569
2020-03-31,0.7546310636786829
2020-04-01,0.7754081606464245
2020-04-02,0.7563241894309345
2020-04-03,0.8140879303349928
2020-04-06,0.8203671787932966
2020-04-07,0.8555738104087921
2020-04-08,0.8821947802984439
2020-04-09,0.8649260677821137
2020-04-13,0.8778905090761142
2020-04-14,0.8574449656417005
2020-04-15,0.8532851227947758
2020-04-16,0.8805535984673964
2020-04-17,0.8641997552100726
2020-04-20,0.8446865306054565
2020-04-21,0.8660857435321182
2020-04-22,0.8670232857649324
2020-04-23,0.8782669996043609
2020-04-24,0.8844595158891625
2020-04-27,0.8745598476962575
2020-04-28,0.8898191704808897
2020-04-29,0.8853439056111018
2020-04-30,0.8686306522390342
2020-05-01,0.8725791077316992
2020-05-04,0.8765371158058153
2020-05-05,0.8713724725652079
2020-05-06,0.8771588868260339
2020-05-07,0.8857491354023422
2020-05-08,0.8878442277489109
2020-05-11,0.8746669681256759
2020-05-12,0.863364411209015
2020-05-13,0.8729671462960481
2020-05-14,0.8765247370566553
2020-05-15,0.8956633624531334
2020-05-18,0.8880854776313879
2020-05-19,0.89934722934905
2020-05-20,0.8957721904263899
2020-05-21,0.8963202023355371
2020-05-22,0.9034341271389188
2020-05-26,0.9110139305932452
2020-05-27,0.9131683624001183
2020-05-28,0.9149337497462519
2020-05-29,0.9163912583070967
2020-06-01,0.9216229136181854
2020-06-02,0.9307853086182138
2020-06-03,0.9267952473392977
2020-06-04,0.9465873234642121
2020-06-05,0.9563781256235194
2020-06-08,0.9520702644583766
2020-06-09,0.9474421146104994
2020-06-10,0.8855337057995019
2020-06-11,0.9062599522960214
2020-06-12,0.9134031324313583
2020-06-15,0.928067747444375
2020-06-16,0.9147214444227966
2020-06-17,0.9159747478443071
2020-06-18,0.9141146564959154
2020-06-19,0.9157019113116618
2020-06-22,0.9172469793626753
2020-06-23,0.8953696232211938
2020-06-24,0.9090886172189575
2020-06-25,0.8771274993657495
2020-06-26,0.8927274066383343
2020-06-29,0.9026370291685666
2020-06-30,0.9037785687746688
2020-07-01,0.9086672161501995
2020-07-02,0.9194609297547574
2020-07-06,0.9158286222407472
2020-07-07,0.9203674933328525
2020-07-08,0.9193862217285893
2020-07-09,0.9418695050949242
2020-07-10,0.9418806729322571
2020-07-13,0.9542375496079029
2020-07-14,0.965747798081034
2020-07-15,0.9637675764871941
2020-07-16,0.9587920521551788
2020-07-17,0.9652471643712451
2020-07-20,0.9758256436939547
2020-07-21,0.9788013437721806
2020-07-22,0.9676580510430344
2020-07-23,0.9643940516811492
2020-07-24,0.9665959218736347
2020-07-27,0.9616694121992965
2020-07-28,0.9728325104247775
2020-07-29,0.9666836764132763
2020-07-30,0.9673607798876928
2020-07-31,0.9717004180282561
2020-08-03,0.976789627705298
2020-08-04,0.9886561183397796
2020-08-05,0.9936813360724006
2020-08-06,0.9984582072755577
2020-08-07,1.0107682848018242
2020-08-10,1.011306455304281
2020-08-11,1.0167968179568794
2020-08-12,1.009970791964221
2020-08-13,1.008774132062208
2020-08-14,1.0126157600482755
2020-08-17,1.0123399774667532
2020-08-18,1.005122921861148
2020-08-19,1.0069865291855993
2020-08-20,1.008036949622239
2020-08-21,1.0219820747994202
2020-08-24,1.020816711113619
2020-08-25,1.0236145641998953
2020-08-26,1.0275057630314217
2020-08-27,1.035521037704195
2020-08-28,1.030778389835882
2020-08-31,1.0350008602681888
2020-09-01,1.051475883354066
2020-09-02,1.0174824004456862
2020-09-03,1.0057543301803238
2020-09-04,0.9817133027554199
2020-09-08,1.0025027643239024
2020-09-09,0.9881196473196932
2020-09-10,0.9889290917529913
2020-09-11,1.0021509715145642
2020-09-14,1.011008521263745
2020-09-15,1.000447389956119
2020-09-16,0.9922715687214425
2020-09-17,0.9821942239325849
2020-09-18,0.9733583468288948
2020-09-21,0.9818162757369425
2020-09-22,0.9619706750223349
2020-09-23,0.9680603682250836
2020-09-24,0.9780368267614317
2020-09-25,0.9950464140693274
2020-09-28,0.9870287196602319
2020-09-29,0.9943423657705268
2020-09-30,0.990778742627134
2020-10-01,0.9920454325357665
2020-10-02,1.005178351828262
2020-10-05,0.99712998037639
2020-10-06,1.0085253557490954
2020-10-07,1.021595597668462
2020-10-08,1.0242682305924495
2020-10-09,1.0435747439647882
2020-10-12,1.033597538685026
2020-10-13,1.0227174141599995
