date,buy_and_hold
2020-01-02,1.0
2020-01-03,0.9904152734477917
2020-01-06,0.9955227691392691
2020-01-07,0.9943688505396695
2020-01-08,1.00218377813124
2020-01-09,1.009893634260785
2020-01-10,1.0092373753131545
2020-01-13,1.0171227519350976
2020-01-14,1.0111897017288727
2020-01-15,1.0140143836121986
2020-01-16,1.025129458861096
2020-01-17,1.0278363445133585
2020-01-21,1.0280150427046675
2020-01-22,1.0290786775623382
2020-01-23,1.0301573939024071
2020-01-24,1.0210026321820997
2020-01-27,0.9969309121626855
2020-01-28,1.0126156873189025
2020-01-29,1.014462779330957
2020-01-30,1.0145305522894135
2020-01-31,0.994664284758113
2020-02-03,1.0003660457961143
2020-02-04,1.0231080000608446
2020-02-05,1.0376048967467082
2020-02-06,1.0415212091116126
2020-02-07,1.0337725444090988
2020-02-10,1.0455383390369082
2020-02-11,1.050399369885992
2020-02-12,1.069571181198119
2020-02-13,1.0670724436581656
2020-02-14,1.0761488663129937
2020-02-18,1.0773154543195498
2020-02-19,1.093067266128644
2020-02-20,1.084439113289643
2020-02-21,1.0642197725050735
2020-02-24,1.0117373597845376
2020-02-25,0.9775383984716227
2020-02-26,0.9824544035031908
2020-02-27,0.9339439514164453
2020-02-28,0.9400602327383842
2020-03-02,0.9917638282638016
2020-03-03,0.962702019194101
2020-03-04,1.0170396812797093
2020-03-05,0.9837467644161237
2020-03-06,0.9690545121485251
2020-03-09,0.9045968448827996
2020-03-10,0.9480917799203943
2020-03-11,0.9097368983591506
2020-03-12,0.8187675178533806
2020-03-13,0.8940789997484238
2020-03-16,0.7776385351918048
2020-03-17,0.8303332305704328
2020-03-18,0.791637006309906
2020-03-19,0.8026533172088502
2020-03-20,0.7658758203382523
2020-03-23,0.752789749166041
2020-03-24,0.8353462195104217
2020-03-25,0.8447413626132433
2020-03-26,0.8947579460994478
2020-03-27,0.8659055404483819
2020-03-30,0.8989040521838066
2020-03-31,0.8890313308665375
2020-04-01,0.8437993824992377
2020-04-02,0.8633655495619983
2020-04-03,0.8424019088945855
2020-04-06,0.9082894097608286
2020-04-07,0.900764293240544
2020-04-08,0.931551058685251
2020-04-09,0.9353411634332462
2020-04-13,0.9410792978863137
2020-04-14,0.9784422469522842
2020-04-15,0.9726532974247633
2020-04-16,0.9993563534885345
2020-04-17,1.0000695046396344
2020-04-20,0.9817726177832067
2020-04-21,0.9490039635026231
2020-04-22,0.9763649659189212
2020-04-23,0.9781739703676356
2020-04-24,0.9941754909515302
2020-04-27,1.0031594468896896
2020-04-28,0.9885419906472117
2020-04-29,1.0055864624808726
2020-04-30,1.009088800984049
2020-05-01,0.9778790858449657
2020-05-04,0.989770372621538
2020-05-05,0.9992085029906367
2020-05-06,1.001024064978343
2020-05-07,1.0089125128675351
2020-05-08,1.0262021204817788
2020-05-11,1.0366785934451137
2020-05-12,1.017262484782823
2020-05-13,1.0040033214739288
2020-05-14,1.022086638397369
2020-05-15,1.0334436404717502
2020-05-18,1.0602141772354072
2020-05-19,1.0553615005582093
2020-05-20,1.0714371070347528
2020-05-21,1.0607973732991447
2020-05-22,1.0685238974431386
2020-05-26,1.068751145583814
2020-05-27,1.076803873625025
2020-05-28,1.0766413908303305
2020-05-29,1.0882601763100153
2020-06-01,1.09353868677777
2020-06-02,1.0983995515008889
2020-06-03,1.1065945490506057
2020-06-04,1.0962340740848515
2020-06-05,1.1237143375604055
2020-06-08,1.127836812194454
2020-06-09,1.140382051854893
2020-06-10,1.151714240459072
2020-06-11,1.0874323861724848
2020-06-12,1.0972972757251878
2020-06-15,1.110474751138723
2020-06-16,1.1268563413576893
2020-06-17,1.129774431311531
2020-06-18,1.1287300206040984
2020-06-19,1.1242098492644528
2020-06-22,1.1447167866013814
2020-06-23,1.1556210914848553
2020-06-24,1.1320508915717726
2020-06-25,1.1493504540234867
2020-06-26,1.1134718296653738
2020-06-29,1.1276827531403637
2020-06-30,1.148110371471313
2020-07-01,1.1574260562999328
2020-07-02,1.1629461110097656
2020-07-06,1.191917218226723
2020-07-07,1.1812681726509273
2020-07-08,1.2040959255554018
2020-07-09,1.2113251130582339
2020-07-10,1.21733454979737
2020-07-13,1.2032877296425784
2020-07-14,1.2255833428605782
2020-07-15,1.2209084362370566
2020-07-16,1.216051895111566
2020-07-17,1.2152533027021795
2020-07-20,1.2385647693855764
2020-07-21,1.23364504627642
2020-07-22,1.2384291261341793
2020-07-23,1.2081544657272378
2020-07-24,1.2083300110510824
2020-07-27,1.2216812271444526
2020-07-28,1.207922183544408
2020-07-29,1.2265950275182609
2020-07-30,1.2307146647442706
2020-07-31,1.2655745622432628
2020-08-03,1.2815296983220605
2020-08-04,1.2928301303605672
2020-08-05,1.3087838339093172
2020-08-06,1.3235222880459536
2020-08-07,1.3126946655649634
2020-08-10,1.320291243635486
2020-08-11,1.2954448354072254
2020-08-12,1.3320556459697175
2020-08-13,1.3373247676147455
2020-08-14,1.3395116468115533
2020-08-17,1.3570450597589059
2020-08-18,1.3634825550042307
2020-08-19,1.3574480973180556
2020-08-20,1.3652215943007435
2020-08-21,1.3977337868731912
2020-08-24,1.4062621604098595
2020-08-25,1.4070843638049308
2020-08-26,1.4168806858543244
2020-08-27,1.4089188108496882
2020-08-28,1.4251465240413828
2020-08-31,1.4415263644876304
2020-09-01,1.474604573796734
2020-09-02,1.4917608208180881
2020-09-03,1.4067864185465373
2020-09-04,1.3895138822121604
2020-09-08,1.3342819439294284
2020-09-09,1.3828886668659892
2020-09-10,1.3486206763668518
2020-09-11,1.3402826259789333
