date,ic,hit
2020-01-02,0.17998533724340174,0.3
2020-01-03,-0.1638563049853372,0.45
2020-01-06,-0.2789589442815249,0.25
2020-01-07,-0.22983870967741934,0.6
2020-01-08,-0.2965542521994135,0.75
2020-01-09,-0.27675953079178883,0.4
2020-01-10,0.06818181818181818,0.65
2020-01-13,0.2071114369501466,0.5
2020-01-14,-0.3167155425219941,0.45
2020-01-15,0.013563049853372432,0.75
2020-01-16,-0.2723607038123167,0.5
2020-01-17,-0.042155425219941346,0.5
2020-01-21,-0.10227272727272727,0.45
2020-01-22,-0.10703812316715541,0.5
2020-01-23,-0.04765395894428152,0.2
2020-01-24,-0.19208211143695011,0.15
2020-01-27,0.1407624633431085,0.85
2020-01-28,-0.24266862170087974,0.3
2020-01-29,0.11546920821114366,0.65
2020-01-30,-0.3577712609970674,0.2
2020-01-31,0.02456011730205278,0.6
2020-02-03,0.06195014662756597,0.8
2020-02-04,0.06488269794721407,0.75
2020-02-05,-0.07074780058651026,0.55
2020-02-06,0.12353372434017595,0.45
2020-02-07,-0.16972140762463342,0.7
2020-02-10,0.3541055718475073,0.75
2020-02-11,0.07074780058651026,0.6
2020-02-12,-0.0909090909090909,0.35
2020-02-13,-0.07111436950146627,0.6
2020-02-14,-0.34310850439882695,0.45
2020-02-18,-0.10153958944281524,0.5
2020-02-19,0.0909090909090909,0.5
2020-02-20,0.0007331378299120235,0.35
2020-02-21,-0.27382697947214074,0.05
2020-02-24,0.29618768328445744,0.1
2020-02-25,0.3940615835777126,0.5
2020-02-26,-0.6345307917888562,0.0
2020-02-27,0.3951612903225806,0.4
2020-02-28,-0.12866568914956011,0.9
2020-03-02,0.13673020527859234,0.15
2020-03-03,-0.2349706744868035,1.0
2020-03-04,-0.43401759530791784,0.05
2020-03-05,-0.2540322580645161,0.2
2020-03-06,-0.4655425219941349,0.05
2020-03-09,0.5542521994134897,1.0
2020-03-10,0.18145161290322578,0.0
2020-03-11,-0.2734604105571847,0.05
2020-03-12,0.44098240469208205,1.0
2020-03-13,0.157258064516129,0.1
2020-03-16,-0.05205278592375366,0.85
2020-03-17,-0.17155425219941348,0.15
2020-03-18,0.6220674486803518,0.8
2020-03-19,0.14516129032258063,0.2
2020-03-20,-0.375366568914956,0.15
2020-03-23,0.21151026392961875,0.95
2020-03-24,0.03922287390029325,0.7
2020-03-25,-0.1719208211143695,1.0
2020-03-26,-0.1348973607038123,0.1
2020-03-27,0.34677419354838707,0.95
2020-03-30,-0.23753665689149558,0.25
2020-03-31,-0.1627565982404692,0.25
2020-04-01,0.044721407624633426,0.95
2020-04-02,-0.49230205278592365,0.15
2020-04-03,0.23863636363636362,0.95
2020-04-06,-0.3933284457478005,0.4
2020-04-07,-0.08394428152492668,0.75
2020-04-08,0.24596774193548382,0.7
2020-04-09,-0.34934017595307915,0.25
2020-04-13,-0.29618768328445744,0.65
2020-04-14,-0.2034457478005865,0.15
2020-04-15,0.005865102639296188,0.6
2020-04-16,0.3489736070381231,0.7
2020-04-17,0.06634897360703812,0.25
2020-04-20,0.020894428152492667,0.15
2020-04-21,-0.19061583577712607,0.8
2020-04-22,0.1638563049853372,0.65
2020-04-23,-0.376099706744868,0.85
2020-04-24,0.3005865102639296,0.75
2020-04-27,0.25146627565982405,0.45
2020-04-28,0.15175953079178883,0.8
2020-04-29,0.3837976539589442,0.3
2020-04-30,0.5982404692082111,0.2
2020-05-01,0.19318181818181815,0.65
2020-05-04,-0.2807917888563049,0.7
2020-05-05,-0.13746334310850436,0.2
2020-05-06,-0.07294721407624633,0.6
2020-05-07,-0.15652492668621698,0.85
2020-05-08,-0.05571847507331378,0.3
2020-05-11,-0.376099706744868,0.2
2020-05-12,-0.156891495601173,0.2
2020-05-13,0.06928152492668621,0.85
2020-05-14,-0.33394428152492667,0.35
2020-05-15,0.33027859237536655,0.85
2020-05-18,-0.06268328445747799,0.25
2020-05-19,0.0846774193548387,0.85
2020-05-20,0.03409090909090909,0.2
2020-05-21,0.11290322580645161,0.55
2020-05-22,0.16239002932551316,0.75
2020-05-26,-0.3640029325513196,0.7
2020-05-27,0.5139296187683284,0.5
2020-05-28,0.035923753665689145,0.6
2020-05-29,-0.12719941348973607,0.6
2020-06-01,-0.5252932551319648,0.65
2020-06-02,0.0689149560117302,0.65
2020-06-03,0.022360703812316713,0.3
2020-06-04,-0.44024926686217003,0.75
2020-06-05,0.05278592375366568,0.8
2020-06-08,0.2111436950146627,0.4
2020-06-09,0.42778592375366564,0.45
2020-06-10,0.2129765395894428,0.1
2020-06-11,0.4215542521994134,0.75
2020-06-12,-0.10923753665689148,0.65
2020-06-15,-0.014662756598240468,0.85
2020-06-16,0.23863636363636362,0.5
2020-06-17,-0.17155425219941348,0.5
2020-06-18,0.12939882697947214,0.45
2020-06-19,-0.3280791788856305,0.6
2020-06-22,-0.28995601173020524,0.45
2020-06-23,0.03372434017595308,0.1
2020-06-24,-0.1598240469208211,0.75
2020-06-25,0.5641495601173019,0.15
2020-06-26,-0.17631964809384162,0.9
2020-06-29,-0.2283724340175953,0.8
2020-06-30,0.01759530791788856,0.5
2020-07-01,0.038489736070381225,0.85
2020-07-02,-0.3057184750733138,0.85
2020-07-06,0.10520527859237536,0.25
2020-07-07,-0.17448680351906154,0.85
2020-07-08,-0.2591642228739003,0.35
2020-07-09,0.15579178885630496,0.7
2020-07-10,0.3104838709677419,0.55
2020-07-13,-0.06488269794721407,0.8
2020-07-14,0.08247800586510264,0.6
2020-07-15,-0.07111436950146627,0.4
2020-07-16,-0.03042521994134897,0.4
