date,value
2020-01-02,1.0
2020-01-03,0.9936956875633718
2020-01-06,0.996666731585024
2020-01-07,0.9937170852823269
2020-01-08,0.9980038504098322
2020-01-09,1.003714141469052
2020-01-10,1.0017267488719466
2020-01-13,1.0070143024061804
2020-01-14,1.0050486715368925
2020-01-15,1.0066007101246612
2020-01-16,1.014140837899306
2020-01-17,1.0159072911275513
2020-01-21,1.0148251248519893
2020-01-22,1.0143601852109396
2020-01-23,1.014527753907511
2020-01-24,1.0055491382637936
2020-01-27,0.9927672998687129
2020-01-28,1.0000081307923137
2020-01-29,0.9996348295192793
2020-01-30,1.0014473636689234
2020-01-31,0.9869774827923213
2020-02-03,0.9926500831359607
2020-02-04,1.0043480479050615
2020-02-05,1.0171424353760714
2020-02-06,1.0189177658621829
2020-02-07,1.0150375158048284
2020-02-10,1.0206829700655309
2020-02-11,1.0218759471834475
2020-02-12,1.0293579396746475
2020-02-13,1.0288761676885954
2020-02-14,1.0302877398192571
2020-02-18,1.0292419080270392
2020-02-19,1.0332460457908301
2020-02-20,1.0305738492816454
2020-02-21,1.022154264032398
2020-02-24,0.9890987917126955
2020-02-25,0.9616847493498278
2020-02-26,0.9585313437919368
2020-02-27,0.9205624840326968
2020-02-28,0.91245960924066
2020-03-02,0.9501470522673346
2020-03-03,0.9269401667223574
2020-03-04,0.9625750220480662
2020-03-05,0.9312903717783434
2020-03-06,0.9167268867722954
2020-03-09,0.8510192636066932
2020-03-10,0.8866714248860857
2020-03-11,0.8426830664319377
2020-03-12,0.7673627479762564
2020-03-13,0.8362274858706867
2020-03-16,0.7459835647154782
2020-03-17,0.7839849340552395
2020-03-18,0.7440745940647323
2020-03-19,0.7542447582532054
2020-03-20,0.7289844780737023
2020-03-23,0.7116641519374328
2020-03-24,0.7850652891855735
2020-03-25,0.7927568612817293
2020-03-26,0.8387941076080563
2020-03-27,0.8117219876259943
2020-03-30,0.8381041661451966
2020-03-31,0.8239011611041782
2020-04-01,0.7911556724171807
2020-04-02,0.811315260427935
2020-04-03,0.7959663967165758
2020-04-06,0.8486421895576118
2020-04-07,0.849018427166464
2020-04-08,0.8767977120041498
2020-04-09,0.8939978271418535
2020-04-13,0.8834813053021224
2020-04-14,0.9017846821369999
2020-04-15,0.8837027044251242
2020-04-16,0.8856715110907815
2020-04-17,0.9123115241917779
2020-04-20,0.8954470182397204
2020-04-21,0.8721370903547587
2020-04-22,0.8905229736558499
2020-04-23,0.8919284954803763
2020-04-24,0.9028891522312148
2020-04-27,0.9170038360422946
2020-04-28,0.9135296736864785
2020-04-29,0.9342174018663443
2020-04-30,0.9238232071439688
2020-05-01,0.8998876224793361
2020-05-04,0.9026495641257937
2020-05-05,0.9057862254347392
2020-05-06,0.8988128153301257
2020-05-07,0.9068572981625351
2020-05-08,0.9215532795635477
2020-05-11,0.917162526456109
2020-05-12,0.8988375077210936
2020-05-13,0.8820526058955747
2020-05-14,0.8962864625269154
2020-05-15,0.8985422956819579
2020-05-18,0.9290562831414141
2020-05-19,0.9175765617559851
2020-05-20,0.9336012147532482
2020-05-21,0.927974111792574
2020-05-22,0.9278657409281941
2020-05-26,0.946819517380388
2020-05-27,0.9642089608975595
2020-05-28,0.9586924350186798
2020-05-29,0.9580582031655708
2020-06-01,0.9623236023712558
2020-06-02,0.9696416542869455
2020-06-03,0.9853952184164108
