date,ic,hit,daily_return,drawdown
2020-01-02,-0.4417155425219941,0.05,-0.009881776690154883,0.0
2020-01-03,0.34347507331378296,0.6,0.004729082675292986,0.0
2020-01-06,0.08284457478005865,0.45,-0.0023660058051632377,-0.0023660058051632182
2020-01-07,0.37866568914956006,0.75,0.005557863412400597,0.0
2020-01-08,0.19134897360703812,0.8,0.007293637013918636,0.0
2020-01-09,-0.16972140762463342,0.3,-0.0028398332150071544,-0.002839833215007026
2020-01-10,0.19941348973607034,0.7,0.005450426466508175,0.0
2020-01-13,0.11950146627565982,0.5,-0.0027626156178468305,-0.002762615617846964
2020-01-14,-0.2558651026392962,0.45,0.0012949694476524695,-0.0014712236730152206
2020-01-15,-0.003299120234604105,0.8,0.007180503082156976,0.0
2020-01-16,-0.2129765395894428,0.5,0.0012774802664977697,0.0
2020-01-17,-0.1000733137829912,0.45,-0.0029976911654215326,-0.002997691165421479
2020-01-21,-0.18365102639296185,0.5,-0.0004513602293807455,-0.0034476983562301555
2020-01-22,-0.2008797653958944,0.45,-0.0013409222521364535,-0.0047839975129221335
2020-01-23,-0.2111436950146627,0.15,-0.009834716818501454,-0.014571665070623685
2020-01-24,-0.4857038123167155,0.1,-0.017298384545697276,-0.03161798335045829
2020-01-27,0.43401759530791784,0.85,0.008571545840155638,-0.023317452503964442
2020-01-28,0.08724340175953077,0.4,0.0007154157698091402,-0.022618718407388494
2020-01-29,-0.02346041055718475,0.65,0.0019419260308693026,-0.020720716254579385
2020-01-30,-0.5300586510263929,0.15,-0.02078555600072081,-0.041075580647215615
2020-01-31,0.1946480938416422,0.7,0.0078115375529801785,-0.03358490653497159
2020-02-03,0.6381964809384163,0.9,0.018142741460900613,-0.01605148735032358
2020-02-04,-0.11766862170087976,0.65,0.010300226292274147,-0.005916595010085346
2020-02-05,-0.0406891495601173,0.6,0.0012257736233564913,-0.004698073792832269
2020-02-06,-0.24193548387096772,0.4,-0.005768496818756749,-0.010439469787860922
2020-02-07,-0.27126099706744866,0.65,0.0015209935298817726,-0.008934354623981844
2020-02-10,0.0656158357771261,0.65,0.00226164861518345,-0.006692912379561267
2020-02-11,-0.1843841642228739,0.65,0.004904953128554956,-0.0018207876725214733
2020-02-12,0.16715542521994134,0.45,0.0014176750693079476,-0.0004056938885032002
2020-02-13,0.2111436950146627,0.65,0.004113179210324481,0.0
2020-02-14,0.1348973607038123,0.6,0.000628368025321059,0.0
2020-02-18,-0.1315982404692082,0.55,0.004000001844681076,0.0
2020-02-19,-0.2529325513196481,0.35,-0.004949277282509464,-0.004949277282509601
2020-02-20,-0.04875366568914955,0.35,-0.008475592978315709,-0.01338292220104198
2020-02-21,0.01099706744868035,0.05,-0.031157278678469787,-0.044123225442961544
2020-02-24,0.2848240469208211,0.1,-0.023009762943174392,-0.06611772342840516
2020-02-25,0.30938416422287385,0.4,-0.0006232652149371158,-0.06669977976623853
2020-02-26,-0.19684750733137826,0.0,-0.04383718481576669,-0.10761303400922173
2020-02-27,0.15945747800586507,0.25,-0.007260616545554627,-0.11409231357953176
2020-02-28,0.1601906158357771,1.0,0.04557759351898947,-0.07371477315251129
2020-03-02,-0.376099706744868,0.05,-0.028674728650915148,-0.10027575068571426
