ticker,feature,adf_p,kpss_p
LIN,ret_1d,7.098419556161114e-29,0.1
LIN,ret_5d,1.2696013243068668e-27,0.1
LIN,ret_20d,1.233205951935746e-25,0.1
LIN,log_ret_1d,2.5357410772391286e-30,0.1
LIN,mom_3d,4.990074268433316e-28,0.1
LIN,mom_10,1.8124039232775972e-24,0.1
LIN,mom_21d,1.4039241055087675e-24,0.1
LIN,vol_5d,3.878314409031848e-10,0.01
LIN,vol_20d,7.667027112312631e-10,0.01
LIN,vol_60d,1.482228000371097e-08,0.01
LIN,drawdown_20d,4.105031054269863e-18,0.037474768729088406
LIN,volume_pct_change,0.0,0.08045798459126777
LIN,vol_z_5,2.022270026416085e-30,0.1
LIN,vol_z_20,0.0,0.1
LIN,rsi_14,7.253229506590293e-25,0.1
LIN,macd_line,2.2479158286551583e-30,0.1
LIN,macd_signal,2.3949775020640056e-29,0.1
LIN,macd_hist,0.0,0.1
MCD,ret_1d,0.0,0.1
MCD,ret_5d,2.221221516193366e-24,0.1
MCD,ret_20d,4.747997056551377e-22,0.1
MCD,log_ret_1d,0.0,0.1
MCD,mom_3d,2.3126998778631817e-24,0.1
MCD,mom_10,9.29894033981564e-21,0.1
MCD,mom_21d,1.5379152665363747e-21,0.1
MCD,vol_5d,7.265581803402937e-11,0.01
MCD,vol_20d,4.7890831775372304e-11,0.01
MCD,vol_60d,5.429908660996578e-07,0.01
MCD,drawdown_20d,2.1355271113747104e-19,0.01
MCD,volume_pct_change,0.0,0.01
MCD,vol_z_5,0.0,0.1
MCD,vol_z_20,0.0,0.1
MCD,rsi_14,1.570047790922357e-19,0.1
MCD,macd_line,0.0,0.1
MCD,macd_signal,3.0518023576307317e-30,0.1
MCD,macd_hist,0.0,0.1
META,ret_1d,0.0,0.1
META,ret_5d,1.97121782308829e-15,0.1
META,ret_20d,3.3700202236629946e-11,0.1
META,log_ret_1d,0.0,0.1
META,mom_3d,2.387958010881446e-16,0.1
META,mom_10,3.1644639876212446e-15,0.1
META,mom_21d,3.5398328672885045e-10,0.1
META,vol_5d,5.382001996250807e-11,0.01
META,vol_20d,7.960953121830303e-06,0.01
META,vol_60d,0.005528106469003148,0.01
META,drawdown_20d,5.900360526321673e-12,0.0965454640075914
META,volume_pct_change,0.0,0.1
META,vol_z_5,6.944151478516626e-29,0.1
META,vol_z_20,1.3058266209166362e-29,0.1
META,rsi_14,3.496120192254331e-11,0.1
META,macd_line,2.6942800620272e-29,0.1
META,macd_signal,1.4930428664427474e-23,0.1
META,macd_hist,1.7392918634715326e-28,0.1
MSFT,ret_1d,0.0,0.022262251658595078
MSFT,ret_5d,1.6739595327815363e-28,0.014423437641699774
MSFT,ret_20d,9.605936602506012e-25,0.01
MSFT,log_ret_1d,0.0,0.012733321353999053
MSFT,mom_3d,7.556248704389257e-28,0.01760395665090348
MSFT,mom_10,5.861033944798055e-26,0.01
MSFT,mom_21d,3.204990500686539e-23,0.01
MSFT,vol_5d,4.689462383714419e-11,0.01
MSFT,vol_20d,6.125250816890941e-11,0.01
MSFT,vol_60d,9.769108891382998e-08,0.01
MSFT,drawdown_20d,8.374895959345534e-18,0.01
MSFT,volume_pct_change,1.8285985674134616e-28,0.05430511176276912
MSFT,vol_z_5,4.2077515349889935e-30,0.1
MSFT,vol_z_20,0.0,0.1
MSFT,rsi_14,1.0173568561748199e-20,0.01
MSFT,macd_line,0.0,0.1
MSFT,macd_signal,2.3351721257318955e-30,0.1
MSFT,macd_hist,0.0,0.1
NEE,ret_1d,0.0,0.1
NEE,ret_5d,6.493248162410676e-28,0.1
NEE,ret_20d,9.935805795425019e-25,0.1
NEE,log_ret_1d,0.0,0.1
NEE,mom_3d,7.022605551572042e-27,0.1
NEE,mom_10,7.054636482402951e-25,0.1
NEE,mom_21d,2.009861638296989e-23,0.1
NEE,vol_5d,2.1846252286780448e-14,0.08888071385678475
NEE,vol_20d,2.1034407777025463e-12,0.07925628283725948
NEE,vol_60d,1.2808197844207218e-08,0.05122448255432876
NEE,drawdown_20d,1.4802561906166665e-21,0.0909755401060164
NEE,volume_pct_change,0.0,0.01
NEE,vol_z_5,0.0,0.1
NEE,vol_z_20,0.0,0.1
NEE,rsi_14,2.930305710646026e-23,0.1
NEE,macd_line,2.55371754358861e-30,0.1
NEE,macd_signal,3.6931490977237586e-30,0.1
NEE,macd_hist,0.0,0.1
NKE,ret_1d,0.0,0.1
NKE,ret_5d,5.7423702841134436e-27,0.1
NKE,ret_20d,7.248553415636494e-25,0.1
NKE,log_ret_1d,0.0,0.1
NKE,mom_3d,5.627446324208571e-26,0.1
NKE,mom_10,1.0617641077942752e-23,0.1
NKE,mom_21d,3.825842465134173e-24,0.1
NKE,vol_5d,6.946662415131959e-13,0.020477552154549102
NKE,vol_20d,2.781370438393364e-11,0.02419012443697374
NKE,vol_60d,1.0497121284385414e-06,0.015378095216893404
NKE,drawdown_20d,7.244251320595621e-21,0.06466015871341974
NKE,volume_pct_change,0.0,0.01
NKE,vol_z_5,0.0,0.1
NKE,vol_z_20,2.4395168957916486e-30,0.1
NKE,rsi_14,2.584377912244056e-22,0.1
NKE,macd_line,1.3060325224186975e-29,0.1
NKE,macd_signal,3.005210475019035e-29,0.1
NKE,macd_hist,0.0,0.1
NVDA,ret_1d,0.0,0.1
NVDA,ret_5d,1.5004864603538273e-24,0.1
NVDA,ret_20d,4.632835942766333e-20,0.1
NVDA,log_ret_1d,0.0,0.09149903723107632
NVDA,mom_3d,2.6033870084799465e-24,0.1
NVDA,mom_10,4.289398775127076e-21,0.1
NVDA,mom_21d,1.9972267367269635e-18,0.1
NVDA,vol_5d,9.48603589184926e-11,0.01
NVDA,vol_20d,7.107675004808273e-09,0.01
NVDA,vol_60d,4.0544266565069954e-07,0.01
NVDA,drawdown_20d,2.429476575524899e-16,0.01
NVDA,volume_pct_change,0.0,0.01
NVDA,vol_z_5,9.577160086863193e-30,0.05873377801285777
NVDA,vol_z_20,2.1792127649976415e-30,0.1
NVDA,rsi_14,1.129421234591849e-19,0.01
NVDA,macd_line,2.4888405195142557e-30,0.1
NVDA,macd_signal,4.41550704156331e-30,0.1
NVDA,macd_hist,0.0,0.1
ORCL,ret_1d,0.0,0.1
ORCL,ret_5d,8.18225562094422e-27,0.1
ORCL,ret_20d,3.5511545967743144e-25,0.06334897907665474
ORCL,log_ret_1d,0.0,0.04995608884172861
ORCL,mom_3d,3.5664562487671687e-26,0.1
ORCL,mom_10,8.918062184150268e-25,0.09039538799063335
ORCL,mom_21d,6.8460185625299e-24,0.060680974306893426
ORCL,vol_5d,8.322231446535436e-08,0.01
ORCL,vol_20d,3.983562685148962e-07,0.01
ORCL,vol_60d,0.0016876778231310569,0.01
ORCL,drawdown_20d,3.3136063933129764e-17,0.01
ORCL,volume_pct_change,0.0,0.1
ORCL,vol_z_5,5.291464013495781e-30,0.1
ORCL,vol_z_20,2.0223810890599917e-30,0.1
ORCL,rsi_14,6.606002599438323e-24,0.049071805723721516
ORCL,macd_line,4.413139645844005e-30,0.1
ORCL,macd_signal,9.838368973331106e-30,0.1
ORCL,macd_hist,0.0,0.1
PFE,ret_1d,7.541077195313817e-30,0.1
PFE,ret_5d,4.032427142114989e-27,0.1
PFE,ret_20d,2.5064062314615947e-24,0.1
PFE,log_ret_1d,8.201130929364461e-30,0.1
PFE,mom_3d,2.2548106269670965e-26,0.1
PFE,mom_10,2.2145561292488393e-24,0.1
PFE,mom_21d,2.0187986492357602e-23,0.1
PFE,vol_5d,7.344559733518696e-11,0.01
PFE,vol_20d,1.2470333016355323e-09,0.01
PFE,vol_60d,1.2531993451310122e-05,0.01
PFE,drawdown_20d,1.5385617809099529e-21,0.020720922388146934
PFE,volume_pct_change,0.0,0.1
PFE,vol_z_5,0.0,0.1
PFE,vol_z_20,0.0,0.1
PFE,rsi_14,2.133141019161587e-21,0.1
PFE,macd_line,3.079567861437516e-30,0.1
PFE,macd_signal,1.3550358721053003e-29,0.1
PFE,macd_hist,0.0,0.1
PLD,ret_1d,3.0595371778505834e-28,0.1
PLD,ret_5d,3.229029047563695e-29,0.1
PLD,ret_20d,8.275774014512659e-27,0.1
PLD,log_ret_1d,4.3183421552486104e-27,0.1
PLD,mom_3d,1.0798415616360988e-28,0.1
PLD,mom_10,1.0863626726756524e-25,0.1
PLD,mom_21d,2.4077634434722234e-26,0.1
PLD,vol_5d,6.700313550057682e-05,0.02658596698858675
PLD,vol_20d,1.2387306075767187e-05,0.029555517403257937
PLD,vol_60d,9.132672921327856e-05,0.024995073198776776
PLD,drawdown_20d,4.193902668051185e-14,0.08826761291722529
PLD,volume_pct_change,7.108912387402914e-12,0.01
PLD,vol_z_5,0.0,0.1
PLD,vol_z_20,0.0,0.1
PLD,rsi_14,6.949718219915431e-24,0.1
PLD,macd_line,2.1098030047446233e-30,0.1
PLD,macd_signal,8.783918839967583e-30,0.1
PLD,macd_hist,0.0,0.1
RTX,ret_1d,0.0,0.1
RTX,ret_5d,1.4291641766245646e-26,0.1
RTX,ret_20d,2.112635707822566e-23,0.1
RTX,log_ret_1d,2.028080717666344e-30,0.1
RTX,mom_3d,5.990329756385835e-28,0.1
RTX,mom_10,5.109332213601626e-23,0.1
RTX,mom_21d,9.251641357342437e-23,0.1
RTX,vol_5d,1.965289872084528e-11,0.01
RTX,vol_20d,2.4723944868508225e-11,0.01
RTX,vol_60d,1.3516985772993315e-07,0.01
RTX,drawdown_20d,9.780258255395454e-19,0.1
RTX,volume_pct_change,0.0,0.07974121637658227
RTX,vol_z_5,0.0,0.1
RTX,vol_z_20,0.0,0.1
RTX,rsi_14,2.0471584715819174e-22,0.1
RTX,macd_line,2.3297213232402023e-30,0.1
RTX,macd_signal,6.354577198719217e-30,0.1
RTX,macd_hist,0.0,0.1
TLT,ret_1d,8.156579537138451e-27,0.1
TLT,ret_5d,3.000107171259053e-23,0.1
TLT,ret_20d,3.036896359653426e-20,0.1
TLT,log_ret_1d,7.05256951293264e-27,0.1
TLT,mom_3d,9.280181515710258e-23,0.1
TLT,mom_10,8.810116127589282e-20,0.1
TLT,mom_21d,2.7522347902789996e-19,0.1
TLT,vol_5d,3.3017858675670836e-09,0.01
TLT,vol_20d,1.0425034034459608e-07,0.01
TLT,vol_60d,9.625950812788127e-06,0.01
TLT,drawdown_20d,1.0604329794995507e-19,0.011225351611875848
TLT,volume_pct_change,7.704692740192024e-14,0.01
TLT,vol_z_5,4.013611044925197e-30,0.1
TLT,vol_z_20,4.0802898578251266e-30,0.1
TLT,rsi_14,5.954433500475946e-19,0.1
TLT,macd_line,2.531262907736127e-29,0.1
TLT,macd_signal,1.4035765836603484e-28,0.1
TLT,macd_hist,0.0,0.1
UNH,ret_1d,3.1511597746064778e-30,0.1
UNH,ret_5d,1.143679460055807e-26,0.1
UNH,ret_20d,2.9835331212576222e-24,0.1
UNH,log_ret_1d,4.208024825114284e-30,0.1
UNH,mom_3d,2.111712016724667e-26,0.1
UNH,mom_10,2.908849414948011e-22,0.1
UNH,mom_21d,1.2121999448077985e-22,0.1
UNH,vol_5d,1.1533987923975458e-12,0.01
UNH,vol_20d,5.104968519943993e-10,0.01
UNH,vol_60d,6.597657966525032e-06,0.01
UNH,drawdown_20d,3.2261554599933207e-16,0.024809181151548985
UNH,volume_pct_change,0.0,0.01
UNH,vol_z_5,2.0221242255891414e-30,0.1
UNH,vol_z_20,1.1018686353603493e-29,0.1
UNH,rsi_14,2.8632099269281573e-21,0.1
UNH,macd_line,2.408081306799023e-30,0.1
UNH,macd_signal,1.9743142221136754e-29,0.1
UNH,macd_hist,0.0,0.1
WFC,ret_1d,1.4199219520866237e-24,0.1
WFC,ret_5d,4.381953411977503e-24,0.1
WFC,ret_20d,2.973034525936611e-23,0.1
WFC,log_ret_1d,2.7395549632319177e-24,0.1
WFC,mom_3d,3.6960803798687206e-23,0.1
WFC,mom_10,5.2609993653807924e-21,0.1
WFC,mom_21d,5.476266529243562e-22,0.1
WFC,vol_5d,0.0001732724744979918,0.07617043267862386
WFC,vol_20d,0.00032582895362734014,0.0877980826654275
WFC,vol_60d,0.0004348001496607236,0.0833478091752244
WFC,drawdown_20d,9.109911810714424e-11,0.1
WFC,volume_pct_change,0.0,0.1
WFC,vol_z_5,0.0,0.1
WFC,vol_z_20,4.3753108152819455e-30,0.1
WFC,rsi_14,2.4777732318287934e-23,0.1
WFC,macd_line,3.389222143891061e-28,0.1
WFC,macd_signal,3.416563945288466e-26,0.1
WFC,macd_hist,0.0,0.1
WMT,ret_1d,0.0,0.1
WMT,ret_5d,2.9039455769538316e-27,0.1
WMT,ret_20d,1.3538948947907377e-23,0.051479243020894974
WMT,log_ret_1d,0.0,0.09609653387543465
WMT,mom_3d,8.81928055710761e-27,0.1
WMT,mom_10,1.5435526891981343e-24,0.06802686913006528
WMT,mom_21d,1.1015085721965892e-22,0.04991457063893799
WMT,vol_5d,5.366144223326566e-11,0.01
WMT,vol_20d,2.3111475879074597e-09,0.01
WMT,vol_60d,1.0899022497415618e-06,0.01
WMT,drawdown_20d,3.4132866239310955e-19,0.01
WMT,volume_pct_change,0.0,0.1
WMT,vol_z_5,0.0,0.1
WMT,vol_z_20,2.3557576769092254e-30,0.1
WMT,rsi_14,5.593508910500106e-24,0.01
WMT,macd_line,2.9520670698091058e-30,0.1
WMT,macd_signal,8.850609792062075e-30,0.1
WMT,macd_hist,0.0,0.1
XOM,ret_1d,0.0,0.1
XOM,ret_5d,4.7247070448378584e-26,0.1
XOM,ret_20d,9.332381511049429e-23,0.1
XOM,log_ret_1d,0.0,0.1
XOM,mom_3d,6.605297797443535e-26,0.1
XOM,mom_10,1.5374624613138067e-22,0.1
