date,ic,hit
2020-01-02,-0.01759530791788856,0.7
2020-01-03,-0.1528592375366569,0.3
2020-01-06,0.06744868035190615,0.65
2020-01-07,0.19244868035190613,0.45
2020-01-08,-0.3837976539589442,0.45
2020-01-09,-0.31011730205278587,0.7
2020-01-10,-0.052419354838709666,0.5
2020-01-13,0.13929618768328444,0.6
2020-01-14,-0.29912023460410553,0.4
2020-01-15,-0.27382697947214074,0.55
2020-01-16,-0.11986803519061583,0.2
2020-01-17,-0.11217008797653959,0.3
2020-01-21,0.12390029325513194,0.8
2020-01-22,0.24266862170087974,0.4
2020-01-23,0.06634897360703812,0.6
2020-01-24,-0.2027126099706745,0.2
2020-01-27,0.22434017595307917,0.7
2020-01-28,-0.09054252199413489,0.7
2020-01-29,0.35153958944281516,0.85
2020-01-30,-0.1096041055718475,0.65
2020-01-31,-0.3379765395894428,0.3
2020-02-03,-0.1601906158357771,0.65
2020-02-04,0.05168621700879765,0.7
2020-02-05,-0.21407624633431083,0.65
2020-02-06,-0.06414956011730204,0.35
2020-02-07,-0.3966275659824046,0.5
2020-02-10,-0.06524926686217009,0.4
2020-02-11,0.01063049853372434,0.55
2020-02-12,-0.10850439882697946,0.5
2020-02-13,0.09420821114369501,0.3
2020-02-14,-0.5450879765395894,0.05
2020-02-18,0.026759530791788853,0.0
2020-02-19,0.08504398826979472,0.35
2020-02-20,-0.09530791788856303,0.0
2020-02-21,0.05755131964809384,0.2
2020-02-24,-0.19538123167155422,1.0
2020-02-25,0.22727272727272727,0.15
2020-02-26,0.1414956011730205,0.9
2020-02-27,-0.2716275659824047,0.0
2020-02-28,-0.11986803519061583,0.3
2020-03-02,-0.23387096774193541,0.05
2020-03-03,0.1158357771260997,0.85
2020-03-04,0.2063782991202346,0.0
2020-03-05,-0.07587976539589442,0.0
2020-03-06,0.059384164222873896,1.0
2020-03-09,-0.3405425219941349,0.0
2020-03-10,-0.022360703812316713,0.85
2020-03-11,0.21810850439882695,0.2
2020-03-12,0.11363636363636363,0.65
2020-03-13,0.00879765395894428,0.2
2020-03-16,0.16312316715542519,0.3
2020-03-17,-0.09860703812316715,0.85
2020-03-18,0.06121700879765395,0.6
2020-03-19,-0.2551319648093841,1.0
2020-03-20,-0.06964809384164222,0.05
2020-03-23,0.004032258064516129,0.95
2020-03-24,0.27419354838709675,0.1
2020-03-25,0.12903225806451613,0.25
2020-03-26,-0.10703812316715541,0.95
2020-03-27,-0.3291788856304985,0.1
2020-03-30,-0.011730205278592375,0.9
2020-03-31,-0.038123167155425214,0.5
2020-04-01,0.23643695014662755,0.85
2020-04-02,-0.5124633431085044,0.55
2020-04-03,0.11436950146627566,0.25
2020-04-06,0.03005865102639296,0.8
2020-04-07,-0.08431085043988269,0.2
2020-04-08,0.2067448680351906,0.7
2020-04-09,0.17485337243401758,0.7
2020-04-13,0.06451612903225806,0.15
2020-04-14,0.38123167155425214,0.15
2020-04-15,-0.3665689149560117,0.85
2020-04-16,0.46480938416422274,0.75
2020-04-17,-0.05388563049853372,0.9
2020-04-20,-0.25806451612903225,0.65
2020-04-21,-0.03262463343108504,0.45
2020-04-22,-0.18914956011730205,0.75
2020-04-23,0.044721407624633426,0.15
2020-04-24,-0.2214076246334311,0.2
2020-04-27,0.25659824046920815,0.65
2020-04-28,0.05535190615835778,0.7
2020-04-29,0.2071114369501466,0.35
2020-04-30,-0.22030791788856302,0.7
2020-05-01,0.08394428152492668,0.95
2020-05-04,-0.038489736070381225,0.4
2020-05-05,0.04655425219941349,0.25
2020-05-06,-0.28005865102639294,0.15
2020-05-07,-0.02346041055718475,0.9
2020-05-08,-0.33027859237536655,0.45
2020-05-11,0.07001466275659823,0.85
2020-05-12,0.0909090909090909,0.15
2020-05-13,0.13746334310850436,0.9
2020-05-14,0.011363636363636362,0.25
2020-05-15,-0.22214076246334308,0.5
2020-05-18,0.1719208211143695,0.7
2020-05-19,0.4596774193548387,0.9
2020-05-20,0.20527859237536655,0.5
2020-05-21,-0.05278592375366568,0.65
2020-05-22,0.14919354838709678,0.7
2020-05-26,-0.0909090909090909,0.75
2020-05-27,0.022727272727272724,0.55
2020-05-28,-0.12976539589442815,0.3
2020-05-29,0.02382697947214076,0.85
2020-06-01,0.059017595307917885,0.85
2020-06-02,0.01319648093841642,0.35
2020-06-03,0.6158357771260996,0.45
2020-06-04,0.4017595307917888,0.1
2020-06-05,-0.07697947214076245,0.75
2020-06-08,-0.07661290322580644,0.65
2020-06-09,-0.033357771260997066,0.85
2020-06-10,-0.5007331378299119,0.25
2020-06-11,-0.16825513196480937,0.4
2020-06-12,0.07074780058651026,0.5
2020-06-15,-0.19391495601173017,0.7
2020-06-16,-0.10557184750733135,0.55
2020-06-17,-0.3900293255131964,0.0
2020-06-18,-0.282624633431085,0.65
2020-06-19,0.17815249266862168,0.15
2020-06-22,0.009530791788856303,0.95
2020-06-23,-0.5183284457478006,0.8
2020-06-24,0.32074780058651026,0.55
2020-06-25,-0.0007331378299120235,0.8
2020-06-26,-0.09237536656891496,0.85
2020-06-29,0.3658357771260997,0.25
2020-06-30,-0.09274193548387095,0.8
2020-07-01,0.314882697947214,0.6
2020-07-02,-0.049853372434017586,0.7
2020-07-06,-0.1033724340175953,0.45
2020-07-07,0.05278592375366568,0.85
2020-07-08,-0.0157624633431085,0.7
2020-07-09,-0.00219941348973607,0.45
2020-07-10,-0.24780058651026388,0.35
2020-07-13,-0.01942815249266862,0.5
2020-07-14,0.31304985337243396,0.7
2020-07-15,0.2320381231671554,0.85
2020-07-16,-0.1378299120234604,0.3
