date,ic,hit
2020-01-02,-0.059041367688627965,0.35
2020-01-27,0.04796121367570752,0.65
2020-02-19,-0.09374660252228745,0.35
2020-03-12,0.06680111737677527,0.65
2020-04-03,0.059279191128506194,0.6
2020-04-28,-0.013106485534612789,0.45
2020-05-20,-0.09221997273434727,0.5
2020-06-12,-0.07509051763725716,0.55
2020-07-07,-0.0825045275860885,0.35
2020-07-29,0.0376050714686259,0.45
2020-08-20,-0.14466397514905988,0.35
2020-09-14,0.0589971374449388,0.55
2020-10-06,-0.016041192453986813,0.4
2020-10-28,-0.01982517696891829,0.5
2020-11-19,0.053269236632287685,0.65
2020-12-14,-0.05126020609592006,0.4
2021-01-07,-0.06496165141735617,0.4
2021-02-01,0.04950893930030555,0.65
2021-02-24,-0.08029795521909798,0.4
2021-03-18,-0.03517650075531294,0.4
2021-04-12,-0.08902670131378675,0.45
2021-05-04,0.0428732182911617,0.6
2021-05-26,-0.03378152398381272,0.5
2021-06-18,-0.021633349927329737,0.8
2021-07-13,-0.01622984044014145,0.35
2021-08-04,0.04923293893981529,0.55
2021-08-26,0.029903704752749453,0.6
2021-09-20,0.02034168300007839,0.4
2021-10-12,-0.09669329074803544,0.6
2021-11-03,-0.015419989042240304,0.4
2021-11-26,0.010504375236035292,0.55
2021-12-20,-0.09024335596411119,0.35
2022-01-12,0.03395099478147424,0.45
2022-02-04,-0.05932344774607752,0.35
2022-03-01,0.0499891459527815,0.45
2022-03-23,-0.011990950549890708,0.35
2022-04-14,-0.025137579965896478,0.4
2022-05-09,-0.01061363096668612,0.7
2022-06-01,-0.013207158163674026,0.5
2022-06-24,0.01807565431844451,0.4
2022-07-19,-0.02443989058243968,0.6
2022-08-10,0.03357798749155995,0.35
2022-09-01,-0.06343233941016926,0.4
2022-09-26,0.042296183523878185,0.65
2022-10-18,0.05720905431386686,0.65
2022-11-09,0.05530405403366557,0.75
2022-12-02,0.015884326252550037,0.5
2022-12-27,-0.005966417899772261,0.6
2023-01-20,-0.027777778398661884,0.55
2023-02-13,0.0046201227557899,0.55
2023-03-08,-0.003014412167834241,0.75
2023-03-30,0.01884473766865245,0.5
2023-04-24,0.017747888713283057,0.35
2023-05-16,0.04538199141743427,0.55
2023-06-08,-0.011591121067508954,0.6
2023-07-03,-0.010025956729723853,0.5
2023-07-26,0.036803312254740386,0.55
2023-08-17,-0.024912765846210803,0.4
2023-09-11,0.09322205817966563,0.4
2023-10-03,-0.11841462589252019,0.45
2023-10-25,-0.03569774536226411,0.25
2023-11-16,-0.034179922958167824,0.5
2023-12-11,0.06841542632252942,0.5
2024-01-04,0.025744209127632537,0.65
2024-01-29,0.010293731617857429,0.65
2024-02-21,0.04623117900682382,0.65
2024-03-14,0.0057005210747796764,0.6
2024-04-08,-0.01783380794831435,0.4
2024-04-30,0.06899481509138143,0.8
2024-05-22,0.014243255073401054,0.55
2024-06-14,-0.05863975530290463,0.65
2024-07-10,-0.037190579187695263,0.45
2024-08-01,0.01709839155769558,0.75
2024-08-23,0.051324042915419504,0.45
2024-09-17,0.023447424735305752,0.55
2024-10-09,-0.008338572601595312,0.45
2024-10-31,0.04055703256428743,0.8
2024-11-22,-0.0060208674887908065,0.35
2024-12-17,0.013381923781185625,0.55
