date,ic,hit,daily_return,drawdown
2021-05-28,-0.3244134897360703,0.55,0.002731176634732902,-0.0020229015283088625
2021-06-01,0.32184750733137824,0.8,0.004349468761361143,0.0
2021-06-02,0.15835777126099704,0.4,-0.0011278869159875044,-0.0011278869159874194
2021-06-03,-0.04582111436950146,0.8,0.006333758880162344,0.0
2021-06-04,-0.3082844574780058,0.25,-0.0035988818671481093,-0.003598881867148074
2021-06-07,-0.21554252199413487,0.45,-0.0005393031488016905,-0.004136244127626698
2021-06-08,-0.2063782991202346,0.3,-0.004727867235532808,-0.00884455575007026
2021-06-09,-0.07881231671554251,0.6,0.0012163198577875658,-0.007638993701074903
2021-06-10,-0.188049853372434,0.4,-0.0016831734954062536,-0.009309309444751945
2021-06-11,-0.5623167155425219,0.3,-0.004970277349680275,-0.014233316944557761
2021-06-14,0.06854838709677419,0.4,-0.001370229671774155,-0.015584043703126715
2021-06-15,0.17705278592375365,0.3,-0.006015355283700438,-0.02150565542719618
2021-06-16,-0.043621700879765385,0.55,-0.0039003338569272208,-0.02532211004814522
2021-06-17,-0.3181818181818181,0.1,-0.014874116810460542,-0.03981958283586229
2021-06-18,0.35300586510263926,0.95,0.018563011059668212,-0.021995743132767642
2021-06-21,0.01759530791788856,0.65,0.005291615001587616,-0.01682052113551258
2021-06-22,0.13819648093841638,0.4,-0.0016677970978698638,-0.018460265017048005
2021-06-23,0.19024926686217006,0.9,0.007561965816509688,-0.011037895093561012
2021-06-24,-0.07881231671554251,0.55,0.0010631700256123608,-0.0099864602271581
2021-06-25,-0.13013196480938416,0.45,0.0005313302499578863,-0.00946043608560898
2021-06-28,-0.282624633431085,0.25,-0.0046196485517605084,-0.014036380747507682
2021-06-29,0.19134897360703812,0.7,0.005043896111968068,-0.009063282681818108
2021-06-30,0.027492668621700876,0.85,0.006412427564384831,-0.0027089727611259162
2021-07-01,-0.00036656891495601173,0.65,0.0050248412293438975,0.0
2021-07-02,-0.38782991202346034,0.25,-0.008719094949763367,-0.008719094949763417
2021-07-06,-0.1096041055718475,0.65,0.0026020990209259026,-0.006139683877269597
2021-07-07,0.25036656891495596,0.2,-0.004922004559201079,-0.011031468884434736
2021-07-08,-0.19281524926686217,0.9,0.01126755230330446,0.0
2021-07-09,0.17668621700879764,0.6,0.00669456072451142,0.0
2021-07-12,-0.26502932551319647,0.2,-0.006799875341887967,-0.006799875341887862
2021-07-13,-0.11180351906158356,0.55,-0.0003951037675610599,-0.007192292453082394
2021-07-14,0.30351906158357767,0.7,-0.0011598705833559026,-0.008343820907995125
2021-07-15,0.7683284457478005,0.2,-0.003489577152096328,-0.011804281653289617
2021-07-16,-0.2382697947214076,0.1,-0.014866563516943952,-0.026495356067263054
2021-07-19,-0.01282991202346041,0.9,0.013030671220977895,-0.013809937120080495
2021-07-20,-0.4002932551319648,0.55,0.0037754480086378485,-0.010086627811042193
2021-07-21,0.2379032258064516,0.8,0.002781632807344071,-0.007333052298532761
2021-07-22,-0.4420821114369501,0.55,0.005313283469274929,-0.0020587314148149405
2021-07-23,0.1315982404692082,0.7,0.003698945554146198,0.0
2021-07-26,0.48057184750733134,0.65,0.0007224056757494052,0.0
2021-07-27,0.18255131964809382,0.55,0.0005998817678339221,0.0
2021-07-28,0.5736803519061583,0.8,0.005800593259525425,0.0
2021-07-29,-0.5340909090909091,0.25,-0.009571109891719649,-0.009571109891719609
2021-07-30,0.06818181818181818,0.55,0.0011060117934488657,-0.008475683858687244
2021-08-02,-0.24853372434017595,0.8,0.0078115978583431596,-0.0007302946342225836
2021-08-03,-0.10227272727272727,0.25,-0.004786683923062538,-0.005513482867700481
2021-08-04,-0.10520527859237536,0.75,0.008352850575083049,0.0
2021-08-05,0.18841642228739003,0.55,0.00462687122559888,0.0
2021-08-06,0.2653958944281525,0.4,-0.0019178039194677923,-0.001917803919467831
2021-08-09,0.28335777126099704,0.7,0.008991313770650268,0.0
2021-08-10,0.0,0.7,0.0061795095018617515,0.0
2021-08-11,-0.04802052785923753,0.65,0.0028144636478305697,0.0
2021-08-12,0.4211876832844574,0.85,0.005726089561533531,0.0
2021-08-13,-0.2063782991202346,0.6,-0.0004935906013299907,-0.0004935906013300295
2021-08-16,-0.14956011730205276,0.2,-0.008469842463432376,-0.008959252430127851
2021-08-17,-0.23240469208211137,0.1,-0.01280381915416435,-0.021648358936420364
2021-08-18,-0.41458944281524923,0.35,-0.0041215214865701535,-0.02568065624648508
2021-08-19,-0.33394428152492667,0.9,0.0048364459309360236,-0.020968413420956122
2021-08-20,0.6799853372434017,0.9,0.014702458426658913,-0.006574242220891868
2021-08-23,-0.08504398826979472,0.5,-9.183091590087917e-05,-0.006665469418108305
2021-08-24,-0.31781524926686217,0.5,-0.000575585497103067,-0.007237218367682763
2021-08-25,0.04802052785923753,0.25,-0.006183455822451337,-0.013375923170080295
2021-08-26,-0.5879765395894427,0.8,0.0037746781141662416,-0.00965173486036075
2021-08-27,0.6649560117302052,0.75,0.007295704093758703,-0.0024264469681346545
2021-08-30,-0.12060117302052785,0.3,-0.0037397891292137967,-0.006157161697354474
2021-08-31,0.375,0.6,0.0006066115630200227,-0.005554285139815485
2021-09-01,-0.06085043988269794,0.55,0.0033639826869196056,-0.002208986971944382
2021-09-02,0.017961876832844573,0.35,-0.0021011322899780445,-0.004305477888067566
2021-09-03,0.11143695014662756,0.2,-0.004086733982815032,-0.008374616528085133
2021-09-07,-0.3995601173020528,0.25,-0.005493230665960058,-0.013821843493717512
2021-09-08,0.7397360703812316,0.7,0.0025550654080626774,-0.011302093799841262
2021-09-09,-0.1946480938416422,0.2,-0.006554171905255881,-0.017782189839443685
2021-09-10,0.46847507331378296,0.75,0.006828295261557853,-0.011075316620506648
2021-09-13,-0.07917888563049852,0.25,-0.007493258739668057,-0.018485585147113515
2021-09-14,-0.344574780058651,0.7,0.003895160138768563,-0.014662429322751747
2021-09-15,0.07148093841642228,0.25,-0.0036749193018763356,-0.018283465380097508
2021-09-16,-0.1528592375366569,0.1,-0.01001245078111564,-0.028112853863986764
2021-09-17,-0.21444281524926684,0.2,-0.01747366152557457,-0.04509528089662407
2021-09-20,0.14626099706744866,0.75,0.001603191227589076,-0.04356438602777413
2021-09-21,-0.3717008797653959,0.75,0.007557127405982427,-0.03633648023736691
2021-09-22,-0.3775659824046921,0.8,0.00822756214046965,-0.028407878746016024
2021-09-23,0.08907624633431084,0.55,-0.0005022018799061066,-0.02889581413581166
2021-09-24,0.09494134897360704,0.5,0.0021244944111681453,-0.026832708720281095
2021-09-27,-0.08504398826979472,0.05,-0.017379002753405016,-0.04374538575495501
2021-09-28,0.15212609970674487,0.65,0.001971839981836866,-0.041859804673770484
2021-09-29,0.46151026392961864,0.15,-0.009513818330398114,-0.05097537642715644
2021-09-30,-0.3793988269794721,0.75,0.00813222752384209,-0.04325769226253351
2021-10-01,-0.27639296187683277,0.4,-0.012357462994249224,-0.055080599925431795
2021-10-04,0.157258064516129,0.75,0.011064085598245748,-0.04462593079956356
2021-10-05,-0.4160557184750733,0.65,0.0007151670923483156,-0.043942678704388505
2021-10-06,0.187316715542522,0.7,0.00792030441969662,-0.03637041367704741
2021-10-07,-0.3196480938416422,0.45,-0.0008161850703777432,-0.0371569137587785
2021-10-08,0.23240469208211137,0.15,-0.006763548103010097,-0.04366914928822163
2021-10-11,0.0406891495601173,0.4,-0.0029274412548325694,-0.04646875167386444
2021-10-12,0.08760997067448678,0.55,0.001448141397363912,-0.04508790359948334
2021-10-13,-0.04838709677419354,0.95,0.013571554296657901,-0.032128262234648264
2021-10-14,0.009897360703812315,0.9,0.010398757870680021,-0.022063598383751937
2021-10-15,0.06341642228739001,0.4,0.002506549809977099,-0.019612352082111095
2021-10-18,0.3947947214076246,0.85,0.008614192652281102,-0.01116710400902976
2021-10-19,0.1191348973607038,0.6,0.003634821661189768,-0.007572872779384787
2021-10-20,0.3537390029325513,0.7,0.00048759232123559207,-0.007088972932766113
2021-10-21,-0.33944281524926684,0.6,-0.0031411038915844475,-0.010207809623884012
2021-10-22,-0.19611436950146627,0.5,0.00141707554802648,-0.008805199313274392
2021-10-25,0.08687683284457476,0.65,0.004775014714930247,-0.0040722295546329335
2021-10-26,-0.30131964809384165,0.25,-0.007150584003826635,-0.01119369473894627
2021-10-27,-0.05571847507331378,0.75,0.007739727042403111,-0.003540603838418588
2021-10-28,-0.6554252199413488,0.3,-0.0050520648038037035,-0.008574781282185917
2021-10-29,0.0722140762463343,0.6,0.0028962320759535983,-0.005703383762826086
